Name,Tier,Type,Power,Category,Element,Masterwork Type,Masterwork Tier,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10,Perks 11,Perks 12,Perkcheck,PvE?,PvP?,In Masterlist?
does not compute,Legendary,Scout Rifle,959,Kinetic,Kinetic,Handling,4.0,High-Impact Frame,Rifle Scope ST,Red Dot 2 MOA,Drop Mag,Flared Magwell,Moving Target,Kill Clip,Crucible Legacy,Tier 4 Weapon,-----,-----,-----,-----,3,0,1,Y
philippis-b,Rare,Submachine Gun,960,Kinetic,Kinetic,-----,-----,Precision Frame,GA Post,Accurized Rounds,Dynamic Sway Reduction,-----,-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
beloved,Legendary,Sniper Rifle,948,Energy,Solar,Handling,5.0,Adaptive Frame,Chambered Compensator,Full Bore,Extended Mag,Flared Magwell,Demolitionist,Rampage,Shadow Gilt,Boss Spec,Tier 5 Weapon,-----,-----,-----,2,1,1,N
misfit,Legendary,Auto Rifle,959,Energy,Arc,Handling,4.0,Rapid-Fire Frame,Devil Scope D2,Dusk Sight D1,Extended Mag,Light Mag,Snapshot Sights,High-Impact Reserves,Glacial Whisper,Tier 4 Weapon,-----,-----,-----,-----,4,0,1,Y
cup-bearer sa/2,Rare,Rocket Launcher,960,Power,Solar,-----,-----,Adaptive Frame,Hard Launch,High-Velocity Rounds,Cluster Bomb,-----,-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
lamia hc2,Rare,Hand Cannon,960,Energy,Arc,-----,-----,Lightweight Frame,HitMark HCS,Flared Magwell,Outlaw,-----,-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
arbalest,Exotic,Linear Fusion Rifle,960,Kinetic,Kinetic,-----,-----,Compounding Force,Extended Barrel,Projection Fuse,Disruption Break,Composite Stock,-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Exotic
jack queen king 3,Legendary,Hand Cannon,958,Energy,Arc,Handling,3.0,Lightweight Frame,SteadyHand HCS,TrueSight HCS,Armor-Piercing Rounds,Ricochet Rounds,Subsistence,Dragonfly,Tier 3 Weapon,-----,-----,-----,-----,-----,4,1,0,Y
exit strategy,Legendary,Submachine Gun,960,Kinetic,Kinetic,Stability,10.0,Adaptive Frame,Arrowhead Brake,Ricochet Rounds,Underdog,Swashbuckler,Masterwork,Tracker Disabled,-----,-----,-----,-----,-----,-----,1,0,1,N
smuggler's word,Legendary,Sidearm,959,Kinetic,Kinetic,Handling,1.0,Aggressive Burst,QuickDot SAS,Target SAS,Armor-Piercing Rounds,Ricochet Rounds,Quickdraw,Opening Shot,Distant Earth,Tier 1 Weapon,-----,-----,-----,-----,4,0,1,Y
last hope,Legendary,Sidearm,959,Energy,Arc,Reload Speed,3.0,Omolon Adaptive Frame,Shortspec SAS,Target SAS,Armor-Piercing Rounds,Ricochet Rounds,Quickdraw,Tap the Trigger,Tier 3 Weapon,-----,-----,-----,-----,-----,0,0,0,N
hazard of the cast,Legendary,Auto Rifle,960,Kinetic,Kinetic,Range,3.0,Precision Frame,Corkscrew Rifling,Full Bore,Flared Magwell,Light Mag,Triple Tap,Rampage,Gambit Leather,Minor Spec,Tier 3 Weapon,-----,-----,-----,4,1,0,Y
last perdition,Legendary,Pulse Rifle,958,Energy,Void,Reload Speed,1.0,Adaptive Frame,SRO-41 Ocular,SPO-28 Front,Drop Mag,Appended Mag,Rangefinder,Zen Moment,Crucible Legacy,Tier 1 Weapon,-----,-----,-----,-----,3,1,1,Y
lord of wolves,Exotic,Shotgun,960,Energy,Solar,-----,-----,Shrapnel Launcher,Chambered Compensator,Extended Mag,Release the Wolves,Composite Stock,Tracker Disabled,Lord of Wolves Catalyst,-----,-----,-----,-----,-----,-----,0,0,0,Exotic
nox lumen ii,Rare,Fusion Rifle,960,Energy,Void,-----,-----,High-Impact Frame,Fastdraw IS,Accelerated Coils,Hip-Fire Grip,-----,-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
sand wasp-3au,Rare,Auto Rifle,960,Energy,Arc,-----,-----,Rapid-Fire Frame,Arrowhead Brake,High-Caliber Rounds,Dynamic Sway Reduction,-----,-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
mos epoch iii,Legendary,Rocket Launcher,960,Power,Arc,Reload Speed,3.0,Aggressive Frame,Quick Launch,Smart Drift Control,Black Powder,Impact Casing,Genesis,Shield Disorient,Tier 3 Weapon,-----,-----,-----,-----,-----,0,0,0,N
outrageous fortune,Legendary,Grenade Launcher,960,Power,Solar,Reload Speed,1.0,Aggressive Frame,Countermass,Linear Compensator,Remote Detonation,Sticky Grenades,Snapshot Sights,Quickdraw,Vanguard Veteran,Tier 1 Weapon,-----,-----,-----,-----,0,0,0,N
unspoken promise,Legendary,Sword,959,Power,Arc,-----,-----,Adaptive Frame,Hungry Edge,Balanced Guard,Relentless Strikes,Masterwork Upgrade,-----,-----,-----,-----,-----,-----,-----,-----,2,1,1,N
roar of the bear,Legendary,Rocket Launcher,959,Power,Solar,Velocity,5.0,High-Impact Frame,Countermass,Quick Launch,Alloy Casing,Black Powder,Snapshot Sights,Rangefinder,Iron Fuchsite,Tier 5 Weapon,-----,-----,-----,-----,0,0,0,N
trackless waste,Legendary,Submachine Gun,960,Kinetic,Kinetic,Handling,1.0,Adaptive Frame,Dusk Sight D1,Dusk Dot D1,Extended Mag,Light Mag,Tap the Trigger,Outlaw,Tangled Rust,Targeting Adjuster,Tier 1 Weapon,-----,-----,-----,2,0,1,Y
hawthorne's field-forged shotgun,Legendary,Shotgun,960,Kinetic,Kinetic,Handling,3.0,Lightweight Frame,Smallbore,Corkscrew Rifling,Appended Mag,Steady Rounds,Full Auto Trigger System,Opening Shot,Tier 3 Weapon,-----,-----,-----,-----,-----,2,1,1,Y
black talon,Exotic,Sword,960,Power,Void,-----,-----,Crow's Wings,Tempered Edge,Heavy Guard,Tireless Blade,Tracker Disabled,Black Talon Catalyst,-----,-----,-----,-----,-----,-----,-----,0,0,0,Exotic
terran wind,Legendary,Grenade Launcher,961,Power,Solar,Blast Radius,1.0,Aggressive Frame,Countermass,Remote Detonation,Quickdraw,Rampage,Distant Earth,Tier 1 Weapon,-----,-----,-----,-----,-----,-----,0,0,0,N
play of the game,Legendary,Grenade Launcher,950,Power,Arc,Handling,5.0,Adaptive Frame,Volatile Launch,Linear Compensator,Quick Launch,Thermoplastic Grenades,Proximity Grenades,Threat Detector,Quickdraw,Crucible Legacy,Minor Spec,Tier 5 Weapon,-----,-----,0,0,0,N
the jade rabbit,Exotic,Scout Rifle,950,Kinetic,Kinetic,Stability,10.0,The Fate of All Fools,Polygonal Rifling,Armor-Piercing Rounds,Zen Moment,Jade Rabbit Catalyst,-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Exotic
duke mk. 44,Legendary,Hand Cannon,960,Kinetic,Kinetic,Reload Speed,1.0,Aggressive Frame,Fastdraw HCS,TrueSight HCS,Crossfire HCS,Opening Shot,Appended Mag,Ricochet Rounds,Light Mag,Kill Clip,Distant Earth,Tier 1 Weapon,-----,-----,4,0,1,Y
persuader,Legendary,Sniper Rifle,960,Energy,Void,Handling,1.0,Rapid-Fire Frame,9RECT Telescopic,50VAL Telescopic,Steady Rounds,Flared Magwell,Snapshot Sights,Moving Target,Vanguard Veteran,Tier 1 Weapon,-----,-----,-----,-----,2,0,1,N
trax lysis ii,Rare,Scout Rifle,960,Kinetic,Kinetic,-----,-----,High-Impact Frame,Focus Lens FLS2,Steady Rounds,Full Auto Trigger System,-----,-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
parsec tsu,Rare,Fusion Rifle,960,Energy,Solar,-----,-----,High-Impact Frame,TrueSight IS,Particle Repeater,Field Prep,-----,-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
furina-2mg,Rare,Submachine Gun,960,Energy,Void,-----,-----,Lightweight Frame,Fluted Barrel,Tactical Mag,Snapshot Sights,-----,-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
coldheart,Exotic,Trace Rifle,950,Energy,Arc,Stability,10.0,Cold Fusion,Extended Barrel,Enhanced Battery,Longest Winter,Hand-Laid Stock,Coldheart Catalyst,-----,-----,-----,-----,-----,-----,-----,0,0,0,Exotic
requiem si2,Rare,Sidearm,957,Energy,Arc,-----,-----,Omolon Adaptive Frame,Target SAS,Steady Rounds,Threat Detector,-----,-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
randy's throwing knife,Legendary,Scout Rifle,960,Kinetic,Kinetic,Range,10.0,Rapid-Fire Frame,Fluted Barrel,Extended Mag,Rapid Hit,Zen Moment,Targeting Adjuster,Masterwork,Tracker Disabled,-----,-----,-----,-----,-----,0,0,0,N
revoker,Legendary,Sniper Rifle,958,Kinetic,Kinetic,Handling,10.0,Aggressive Frame,Extended Barrel,Accurized Rounds,Snapshot Sights,Reversal of Fortune,Backup Mag,Masterwork,Crucible Tracker,-----,-----,-----,-----,-----,1,1,1,N
lonesome,Legendary,Sidearm,960,Kinetic,Kinetic,Stability,2.0,Precision Frame,Corkscrew Rifling,Full Bore,High-Caliber Rounds,Flared Magwell,Full Auto Trigger System,Kill Clip,Tier 2 Weapon,-----,-----,-----,-----,-----,3,1,1,Y
sweet business,Exotic,Auto Rifle,960,Kinetic,Kinetic,-----,-----,Payday,Polygonal Rifling,Armor-Piercing Rounds,Business Time,Composite Stock,Sweet Business Catalyst,-----,-----,-----,-----,-----,-----,-----,0,0,0,Exotic
uriel's gift,Legendary,Auto Rifle,958,Energy,Arc,Stability,2.0,Precision Frame,Spark PS,Flash HS5,Appended Mag,High-Caliber Rounds,Field Prep,Disruption Break,Tier 2 Weapon,-----,-----,-----,-----,-----,4,1,0,Y
outlast,Legendary,Pulse Rifle,958,Energy,Solar,Handling,2.0,Rapid-Fire Frame,Arrowhead Brake,Extended Barrel,Accurized Rounds,Flared Magwell,Full Auto Trigger System,Kill Clip,Anti-Barrier Ranger,Tier 2 Weapon,-----,-----,-----,-----,4,1,1,Y
trophy hunter,Legendary,Sniper Rifle,960,Energy,Void,Stability,1.0,Aggressive Frame,Arrowhead Brake,Accurized Rounds,Genesis,Dragonfly,Boss Spec,Tier 1 Weapon,-----,-----,-----,-----,-----,-----,1,1,1,N
tractor cannon,Exotic,Shotgun,960,Power,Void,Magazine,10.0,Repulsor Force,Extended Barrel,Particle Repeater,The Scientific Method,Composite Stock,Tractor Cannon Catalyst,-----,-----,-----,-----,-----,-----,-----,0,0,0,Exotic
jack queen king 3,Legendary,Hand Cannon,958,Energy,Arc,Reload Speed,2.0,Lightweight Frame,TrueSight HCS,Crossfire HCS,Alloy Magazine,Armor-Piercing Rounds,Subsistence,Snapshot Sights,Tier 2 Weapon,-----,-----,-----,-----,-----,3,1,1,Y
telesto,Exotic,Fusion Rifle,950,Energy,Void,-----,-----,Unplanned Reprieve,Projection Fuse,Harbinger's Pulse,Polymer Grip,Telesto Catalyst,-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Exotic
lonesome,Legendary,Sidearm,958,Kinetic,Kinetic,Handling,5.0,Precision Frame,Extended Barrel,Hammer-Forged Rifling,Ricochet Rounds,Flared Magwell,Full Auto Trigger System,Demolitionist,Tier 5 Weapon,-----,-----,-----,-----,-----,4,0,1,Y
jack queen king 3,Legendary,Hand Cannon,959,Energy,Arc,Handling,2.0,Lightweight Frame,SteadyHand HCS,Sureshot HCS,High-Caliber Rounds,Light Mag,Subsistence,Swashbuckler,Tier 2 Weapon,-----,-----,-----,-----,-----,4,1,1,Y
night watch,Legendary,Scout Rifle,949,Kinetic,Kinetic,Handling,3.0,Lightweight Frame,Chambered Compensator,Polygonal Rifling,Appended Mag,Flared Magwell,Rapid Hit,Rampage,Tier 3 Weapon,-----,-----,-----,-----,-----,4,1,0,Y
the wizened rebuke,Legendary,Fusion Rifle,962,Energy,Arc,Range,1.0,High-Impact Frame,Cleanshot IS,Hitmark IS,Red Dot 2 MOA,Enhanced Battery,Projection Fuse,Auto-Loading Holster,Backup Plan,Iron Fuchsite,Tier 1 Weapon,-----,-----,-----,4,1,1,Y
hush,Legendary,Combat Bow,957,Energy,Solar,Accuracy,10.0,Precision Frame,Natural String,Straight Fletching,Opening Shot,Archer's Gambit,Minor Spec,Masterwork,Kill Tracker,-----,-----,-----,-----,-----,2,1,0,N
steelfeather repeater,Legendary,Auto Rifle,960,Kinetic,Kinetic,Stability,4.0,Rapid-Fire Frame,Fluted Barrel,Smallbore,Appended Mag,Light Mag,Subsistence,Multikill Clip,Counterbalance Stock,Tier 4 Weapon,-----,-----,-----,-----,4,1,0,Y
graviton lance,Exotic,Pulse Rifle,960,Energy,Void,Range,10.0,Black Hole,Hammer-Forged Rifling,Accurized Rounds,Cosmology,Fitted Stock,Graviton Lance Catalyst,-----,-----,-----,-----,-----,-----,-----,0,0,0,Exotic
le monarque,Exotic,Combat Bow,960,Energy,Void,-----,-----,Poison Arrows,Natural String,Compact Arrow Shaft,Snapshot Sights,-----,-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Exotic
future imperfect,Rare,Sword,960,Power,Solar,-----,-----,Adaptive Frame,Tempered Edge,Enduring Guard,En Garde,-----,-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
erentil fr4,Legendary,Fusion Rifle,959,Energy,Void,Stability,1.0,High-Impact Frame,Transmission MS7,Flash HS5,Ionized Battery,Particle Repeater,Moving Target,Rampage,Tier 1 Weapon,-----,-----,-----,-----,-----,4,1,1,Y
the old fashioned,Legendary,Hand Cannon,957,Kinetic,Kinetic,Range,4.0,Adaptive Frame,Fastdraw HCS,HitMark HCS,Tactical Mag,Extended Mag,Feeding Frenzy,Explosive Payload,Tier 4 Weapon,-----,-----,-----,-----,-----,4,1,1,Y
claws of the wolf,Legendary,Pulse Rifle,960,Energy,Void,Handling,1.0,Rapid-Fire Frame,Hammer-Forged Rifling,Polygonal Rifling,Appended Mag,Armor-Piercing Rounds,Snapshot Sights,Full Auto Trigger System,Iron Fuchsite,Targeting Adjuster,Tier 1 Weapon,-----,-----,-----,0,1,0,Y
trust,Legendary,Hand Cannon,949,Energy,Solar,Handling,3.0,Precision Frame,Polygonal Rifling,Smallbore,Accurized Rounds,Extended Mag,Triple Tap,Rampage,Gambit Leather,Targeting Adjuster,Tier 3 Weapon,-----,-----,-----,4,1,0,Y
plemusa-b,Rare,Grenade Launcher,960,Power,Solar,-----,-----,Adaptive Frame,Volatile Launch,Proximity Grenades,Auto-Loading Holster,-----,-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
future imperfect,Rare,Sword,960,Power,Solar,-----,-----,Adaptive Frame,Tempered Edge,Enduring Guard,En Garde,-----,-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
kindled orchid,Legendary,Hand Cannon,960,Energy,Void,Stability,2.0,Adaptive Frame,Arrowhead Brake,Corkscrew Rifling,Tactical Mag,Steady Rounds,Shield Disorient,Rapid Hit,New Age Black Armory,Tier 2 Weapon,Base Radiance,-----,-----,-----,3,1,0,Y
crown-splitter,Legendary,Sword,959,Power,Void,-----,-----,Aggressive Frame,Tempered Edge,Heavy Guard,Tireless Blade,Masterwork Upgrade,-----,-----,-----,-----,-----,-----,-----,-----,2,1,1,N
ikelos_smg_v1.0.1,Legendary,Submachine Gun,960,Energy,Arc,-----,-----,Aggressive Frame,Corkscrew Rifling,Disruption Break,Seraph Rounds,Grave Robber,Masterwork Upgrade,-----,-----,-----,-----,-----,-----,-----,1,1,0,N
the chaperone,Exotic,Shotgun,960,Kinetic,Kinetic,-----,-----,Precision Slug,Hammer-Forged Rifling,Accurized Rounds,The Roadborn,Hand-Laid Stock,-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Exotic
lumina,Exotic,Hand Cannon,957,Kinetic,Kinetic,-----,-----,Noble Rounds,Chambered Compensator,Accurized Rounds,Blessing of the Sky,Polymer Grip,-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Exotic
duke mk. 44,Legendary,Hand Cannon,959,Kinetic,Kinetic,Handling,10.0,Aggressive Frame,Fastdraw HCS,TrueSight HCS,Sureshot HCS,Rangefinder,Extended Mag,Armor-Piercing Rounds,High-Caliber Rounds,Moving Target,Distant Earth,Targeting Adjuster,Masterwork*,Crucible Tracker*,4,0,1,Y
orewing's maul,Legendary,Grenade Launcher,960,Energy,Void,Reload Speed,5.0,Lightweight Frame,Confined Launch,Countermass,Hard Launch,Proximity Grenades,Implosion Rounds,Threat Detector,Snapshot Sights,Iron Fuchsite,Tier 5 Weapon,-----,-----,-----,2,0,1,Y
rest for the wicked,Rare,Sword,960,Power,Void,-----,-----,Adaptive Frame,Enduring Blade,Balanced Guard,Assassin's Blade,-----,-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
jack queen king 3,Legendary,Hand Cannon,959,Energy,Arc,Handling,3.0,Lightweight Frame,HitMark HCS,Crossfire HCS,Appended Mag,Flared Magwell,Subsistence,Snapshot Sights,Tier 3 Weapon,-----,-----,-----,-----,-----,3,1,1,Y
black tiger-2sr,Rare,Scout Rifle,960,Energy,Arc,-----,-----,VEIST Rapid-Fire,Corkscrew Rifling,Armor-Piercing Rounds,Zen Moment,-----,-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
dead man walking xx7463,Legendary,Sidearm,959,Energy,Solar,Range,5.0,SUROS Rapid-Fire,Shortspec SAS,Tactic SAS,Appended Mag,Steady Rounds,Moving Target,Grave Robber,Refurbished Black Armory,Tier 5 Weapon,-----,-----,-----,-----,0,0,0,N
madrugada sr2,Rare,Scout Rifle,960,Energy,Void,-----,-----,Lightweight Frame,Candle PS,Alloy Magazine,Explosive Payload,New Pacific Sink (Worn),-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
the prospector,Exotic,Grenade Launcher,960,Power,Arc,Inventory Size,10.0,Excavation,Volatile Launch,Augmented Drum,Full Auto Trigger System,Hand-Laid Stock,Prospector Catalyst,-----,-----,-----,-----,-----,-----,-----,0,0,0,Exotic
trust,Legendary,Hand Cannon,958,Energy,Solar,Stability,4.0,Precision Frame,Arrowhead Brake,Hammer-Forged Rifling,Tactical Mag,Flared Magwell,Triple Tap,Explosive Payload,Gambit Leather,Tier 4 Weapon,-----,-----,-----,-----,4,1,0,Y
the ringing nail,Legendary,Auto Rifle,957,Energy,Solar,Stability,4.0,Precision Frame,Meyrin RDS,Satou Focus Lens,Alloy Magazine,Appended Mag,Dragonfly,Rampage,New Age Black Armory,Tier 4 Weapon,Base Radiance,-----,-----,-----,4,1,0,Y
cerberus+1,Exotic,Auto Rifle,950,Kinetic,Kinetic,-----,-----,Four-Headed Dog,Rifled Barrel,Fluted Barrel,Full Bore,Spread Shot Package,Tracker Disabled,Cerberus+1 Catalyst,-----,-----,-----,-----,-----,-----,0,0,0,Exotic
requiem si2,Rare,Sidearm,960,Energy,Arc,-----,-----,Omolon Adaptive Frame,Target SAS,Steady Rounds,Threat Detector,-----,-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
luna's howl,Legendary,Hand Cannon,960,Energy,Solar,Stability,10.0,Precision Frame,Polygonal Rifling,Drop Mag,Zen Moment,Magnificent Howl,Lilac Bombast,Targeting Adjuster,Masterwork,Crucible Tracker,-----,-----,-----,-----,2,1,0,N
edgewise,Legendary,Machine Gun,960,Power,Solar,Stability,10.0,Rapid-Fire Frame,Polygonal Rifling,Light Mag,Feeding Frenzy,Rampage,Masterwork,Tracker Disabled,-----,-----,-----,-----,-----,-----,0,0,0,N
fixed odds,Legendary,Machine Gun,960,Power,Solar,Reload Speed,2.0,High-Impact Frame,Corkscrew Rifling,Full Bore,Alloy Magazine,High-Caliber Rounds,Feeding Frenzy,Rampage,Shadow Gilt,Tier 2 Weapon,-----,-----,-----,-----,0,0,0,N
hoosegow xe5837,Legendary,Rocket Launcher,959,Power,Solar,Blast Radius,1.0,Adaptive Frame,Countermass,Linear Compensator,Quick Launch,High-Velocity Rounds,Impact Casing,Auto-Loading Holster,Quickdraw,Refurbished Black Armory,Tier 1 Weapon,-----,-----,-----,0,0,0,N
21% delirium,Legendary,Machine Gun,959,Power,Arc,Stability,10.0,Rapid-Fire Frame,Polygonal Rifling,Extended Mag,Overflow,Killing Tally,Boss Spec,Masterwork,Kill Tracker,-----,-----,-----,-----,-----,0,0,0,N
komodo-4fr,Legendary,Linear Fusion Rifle,960,Power,Solar,Charge Time,10.0,Precision Frame,Polygonal Rifling,Accelerated Coils,No Distractions,Eye of the Storm,Masterwork,Tracker Disabled,-----,-----,-----,-----,-----,-----,0,0,0,N
ros lysis ii,Rare,Auto Rifle,960,Kinetic,Kinetic,-----,-----,Adaptive Frame,Red Dot-OAS,Flared Magwell,Dynamic Sway Reduction,-----,-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
ros lysis ii,Rare,Auto Rifle,960,Kinetic,Kinetic,-----,-----,Adaptive Frame,Red Dot-OAS,Flared Magwell,Dynamic Sway Reduction,-----,-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
the last word,Exotic,Hand Cannon,959,Kinetic,Kinetic,-----,-----,Fan Fire,Corkscrew Rifling,Accurized Rounds,Hip-Fire Grip,Textured Grip,-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Exotic
dust rock blues,Legendary,Shotgun,959,Kinetic,Kinetic,Stability,1.0,Precision Frame,Barrel Shroud,Full Choke,Tactical Mag,Accurized Rounds,Moving Target,Full Auto Trigger System,Tangled Rust,Tier 1 Weapon,-----,-----,-----,-----,4,0,1,Y
sleeper simulant,Exotic,Linear Fusion Rifle,950,Power,Solar,-----,-----,Dornröschen,Polygonal Rifling,Flared Magwell,Moving Target,Composite Stock,Sleeper Simulant Catalyst,-----,-----,-----,-----,-----,-----,-----,0,0,0,Exotic
plemusa-b,Rare,Grenade Launcher,960,Power,Solar,-----,-----,Adaptive Frame,Volatile Launch,Proximity Grenades,Auto-Loading Holster,-----,-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
philippis-b,Rare,Submachine Gun,960,Kinetic,Kinetic,-----,-----,Precision Frame,GA Post,Accurized Rounds,Dynamic Sway Reduction,-----,-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
cold front,Legendary,Submachine Gun,958,Kinetic,Kinetic,Reload Speed,3.0,Aggressive Frame,Chambered Compensator,Extended Barrel,Appended Mag,Flared Magwell,Underdog,Rangefinder,Tier 3 Weapon,-----,-----,-----,-----,-----,4,0,1,Y
wavesplitter,Exotic,Trace Rifle,958,Energy,Void,-----,-----,Harmonic Laser,Polygonal Rifling,Enhanced Battery,Supercharged Battery,Fitted Stock,-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Exotic
two-tailed fox,Exotic,Rocket Launcher,959,Power,Void,-----,-----,Twintails,Confined Launch,High-Velocity Rounds,Play with Your Prey,Composite Stock,-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Exotic
stampede mk.32,Rare,Grenade Launcher,960,Power,Void,-----,-----,Aggressive Frame,Confined Launch,Sticky Grenades,Quickdraw,-----,-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
cold front,Legendary,Submachine Gun,959,Kinetic,Kinetic,Handling,3.0,Aggressive Frame,Fluted Barrel,Hammer-Forged Rifling,Accurized Rounds,Appended Mag,Zen Moment,Vorpal Weapon,Tier 3 Weapon,-----,-----,-----,-----,-----,4,1,1,Y
zenobia-d,Legendary,Rocket Launcher,919,Power,Arc,Handling,1.0,Häkke Precision Frame,Volatile Launch,Smart Drift Control,High-Velocity Rounds,Impact Casing,Snapshot Sights,Quickdraw,Tier 1 Weapon,-----,-----,-----,-----,-----,0,0,0,N
edge transit,Legendary,Grenade Launcher,947,Power,Void,Blast Radius,2.0,Adaptive Frame,Volatile Launch,Confined Launch,Proximity Grenades,High-Explosive Ordnance,Rangefinder,Rampage,Glacial Whisper,Radar Tuner,Tier 2 Weapon,-----,-----,-----,0,0,0,N
thunderlord,Exotic,Machine Gun,960,Power,Arc,-----,-----,Reign Havoc,Polygonal Rifling,Armor-Piercing Rounds,Lightning Rounds,Feeding Frenzy,-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Exotic
ros lysis ii,Rare,Auto Rifle,960,Kinetic,Kinetic,-----,-----,Adaptive Frame,Red Dot-OAS,Flared Magwell,Dynamic Sway Reduction,-----,-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
wendigo gl3,Legendary,Grenade Launcher,960,Power,Arc,Velocity,10.0,Adaptive Frame,Smart Drift Control,Blinding Grenades,Auto-Loading Holster,Explosive Light,Masterwork,Tracker Disabled,-----,-----,-----,-----,-----,-----,0,0,0,N
wishbringer,Legendary,Shotgun,960,Energy,Solar,Reload Speed,10.0,Rapid-Fire Frame,Corkscrew Rifling,Full Choke,Tactical Mag,Steady Rounds,Threat Detector,Rampage,Crucible Legacy,Major Spec,Masterwork,Tracker Disabled,-----,-----,4,1,0,N
cold front,Legendary,Submachine Gun,958,Kinetic,Kinetic,Handling,5.0,Aggressive Frame,Fluted Barrel,Smallbore,Tactical Mag,Steady Rounds,Auto-Loading Holster,Kill Clip,Tier 5 Weapon,-----,-----,-----,-----,-----,4,1,0,Y
riskrunner,Exotic,Submachine Gun,950,Energy,Arc,Range,10.0,Arc Conductor,Arrowhead Brake,Extended Mag,Superconductor,Short-Action Stock,Riskrunner Catalyst,-----,-----,-----,-----,-----,-----,-----,0,0,0,Exotic
mindbender's ambition,Legendary,Shotgun,958,Energy,Solar,Reload Speed,1.0,Aggressive Frame,Rifled Barrel,Smoothbore,Barrel Shroud,Appended Mag,Tactical Mag,Snapshot Sights,Moving Target,Vanguard Veteran,Tier 1 Weapon,-----,-----,-----,2,1,1,N
toil and trouble,Legendary,Shotgun,949,Kinetic,Kinetic,Range,1.0,Aggressive Frame,Rifled Barrel,Barrel Shroud,Assault Mag,Accurized Rounds,Slideshot,Rampage,Vanguard Veteran,Tier 1 Weapon,-----,-----,-----,-----,4,1,1,Y
symmetry,Exotic,Scout Rifle,960,Energy,Arc,-----,-----,Revolution,Hammer-Forged Rifling,Particle Repeater,Dynamic Charge,Composite Stock,Tracker Disabled,Symmetry Catalyst,-----,-----,-----,-----,-----,-----,0,0,0,Exotic
trax lysis ii,Rare,Scout Rifle,960,Kinetic,Kinetic,-----,-----,High-Impact Frame,Focus Lens FLS2,Steady Rounds,Full Auto Trigger System,-----,-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
blast furnace,Legendary,Pulse Rifle,958,Kinetic,Kinetic,Reload Speed,10.0,Aggressive Burst,Meyrin RDS,Satou Focus Lens,Drop Mag,Appended Mag,Outlaw,Rampage,New Age Black Armory,Unstoppable Burst,Masterwork,Crucible Tracker,Base Radiance*,-----,4,1,1,Y
misfit,Legendary,Auto Rifle,959,Energy,Arc,Handling,1.0,Rapid-Fire Frame,Dusk Scope D2,Dusk Dot D1,High-Caliber Rounds,Flared Magwell,Tap the Trigger,Under Pressure,Glacial Whisper,Tier 1 Weapon,-----,-----,-----,-----,4,1,1,Y
vestian dynasty,Legendary,Sidearm,959,Energy,Arc,Stability,1.0,Precision Frame,Extended Barrel,Alloy Magazine,Kill Clip,Dragonfly,Tier 1 Weapon,-----,-----,-----,-----,-----,-----,-----,2,1,1,N
bad reputation,Legendary,Submachine Gun,960,Energy,Solar,Handling,4.0,Precision Frame,Dusk Sight D1,King Dot K2,Appended Mag,Armor-Piercing Rounds,Tap the Trigger,Outlaw,Distant Earth,Tier 4 Weapon,-----,-----,-----,-----,2,1,0,N
