Name,Tier,Type,Power,Dmg,Masterwork Type,Masterwork Tier,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10,Perkcheck,PvE?,PvP?,In Masterlist?
prometheus lens,Exotic,Trace Rifle,951,Solar,-----,-----,Prismatic Inferno,Chambered Compensator,Projection Fuse,Flame Refraction,Composite Stock,Prometheus Catalyst,-----,-----,-----,-----,-----,0,0,0,Exotic
cup-bearer sa/2,Rare,Rocket Launcher,959,Solar,-----,-----,Adaptive Frame,Hard Launch,High-Velocity Rounds,Cluster Bomb,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
the wizened rebuke,Legendary,Fusion Rifle,930,Arc,Stability,1.0,High-Impact Frame,Cleanshot IS,Hitmark IS,Red Dot 2 MOA,Accelerated Coils,Projection Fuse,Firmly Planted,Rangefinder,Tier 1 Weapon,-----,-----,3,0,1,Y
fate cries foul,Legendary,Sniper Rifle,950,Void,Range,2.0,Adaptive Frame,Zoom 30 Focus,Zoom 10 Point,Extended Mag,High-Caliber Rounds,Snapshot Sights,Moving Target,Crucible Legacy,Tier 2 Weapon,-----,-----,3,1,0,N
go figure,Legendary,Pulse Rifle,958,Kinetic,Reload Speed,3.0,Aggressive Burst,Devil Scope D2,Wolf Dot W2,Extended Mag,Alloy Magazine,Outlaw,Rampage,Distant Earth,Tier 3 Weapon,-----,-----,2,1,0,Y
plemusa-b,Rare,Grenade Launcher,960,Solar,-----,-----,Adaptive Frame,Volatile Launch,Proximity Grenades,Auto-Loading Holster,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
vigilance wing,Exotic,Pulse Rifle,950,Kinetic,-----,-----,Harsh Truths,Corkscrew Rifling,Alloy Magazine,Last Stand,Composite Stock,Vigilance Wing Catalyst,-----,-----,-----,-----,-----,0,0,0,Exotic
bad omens,Legendary,Rocket Launcher,950,Void,Velocity,3.0,Aggressive Frame,Volatile Launch,Countermass,Alloy Casing,Implosion Rounds,Auto-Loading Holster,Kill Clip,Gambit Leather,Tier 3 Weapon,-----,-----,4,1,0,Y
future imperfect,Rare,Sword,960,Solar,-----,-----,Adaptive Frame,Tempered Edge,Enduring Guard,En Garde,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
shining sphere,Legendary,Rocket Launcher,933,Arc,Handling,2.0,Adaptive Frame,Volatile Launch,Countermass,Alloy Casing,High-Velocity Rounds,Auto-Loading Holster,Demolitionist,Iron Oxide,Minor Spec,Tier 2 Weapon,-----,4,1,1,Y
calus mini-tool,Legendary,Submachine Gun,950,Solar,Handling,1.0,MIDA Synergy,Arrowhead Brake,Full Bore,Extended Mag,Ricochet Rounds,Moving Target,Surrounded,Shadow Gilt,Tier 1 Weapon,-----,-----,4,1,0,Y
temporal clause,Legendary,Machine Gun,939,Void,Range,3.0,Rapid-Fire Frame,Extended Barrel,Polygonal Rifling,High-Caliber Rounds,Light Mag,Quickdraw,Eye of the Storm,Tier 3 Weapon,-----,-----,-----,3,1,1,Y
shepherd's watch,Legendary,Sniper Rifle,958,Kinetic,-----,-----,Adaptive Frame,Zoom 30 Focus,Ricochet Rounds,Moving Target,Masterwork Upgrade,-----,-----,-----,-----,-----,-----,1,1,1,N
subtle calamity,Legendary,Combat Bow,950,Void,Draw Time,3.0,Precision Frame,Tactile String,Natural String,Carbon Arrow Shaft,Natural Fletching,Quickdraw,Sneak Bow,Distant Earth,Tier 3 Weapon,-----,-----,3,0,1,Y
play of the game,Legendary,Grenade Launcher,950,Arc,Handling,5.0,Adaptive Frame,Volatile Launch,Linear Compensator,Quick Launch,Thermoplastic Grenades,Proximity Grenades,Threat Detector,Quickdraw,Crucible Legacy,Tier 5 Weapon,-----,4,1,1,N
dissonance-34,Rare,Sidearm,960,Void,-----,-----,SUROS Rapid-Fire,Shortspec SAS,Ricochet Rounds,Moving Target,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
black tiger-2sr,Rare,Scout Rifle,960,Arc,-----,-----,VEIST Rapid-Fire,Corkscrew Rifling,Armor-Piercing Rounds,Zen Moment,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
bad news xf4354,Legendary,Hand Cannon,958,Kinetic,Handling,1.0,Aggressive Frame,TrueSight HCS,HitMark HCS,Accurized Rounds,Steady Rounds,Outlaw,Zen Moment,Refurbished Black Armory,Tier 1 Weapon,-----,-----,3,0,1,Y
tango-45 xk5094,Legendary,Scout Rifle,958,Solar,Stability,1.0,Precision Frame,SRO-37 Ocular,SLO-12 Post,SLO-21 Post,Alloy Magazine,Flared Magwell,Moving Target,Rampage,Refurbished Black Armory,Tier 1 Weapon,-----,3,1,1,Y
steel sybil z-14,Legendary,Sword,960,Void,Impact,1.0,Adaptive Frame,Hungry Edge,Honed Edge,Jagged Edge,Heavy Guard,Swordmaster's Guard,Relentless Strikes,Whirlwind Blade,Crucible Legacy,Tier 1 Weapon,-----,4,1,0,N
ten paces,Legendary,Hand Cannon,951,Kinetic,Reload Speed,4.0,Adaptive Frame,SteadyHand HCS,Crossfire HCS,Steady Rounds,Flared Magwell,Moving Target,Opening Shot,Glacial Whisper,Major Spec,Tier 4 Weapon,-----,4,0,1,N
uriel's gift,Legendary,Auto Rifle,960,Arc,Reload Speed,3.0,Precision Frame,Transmission MS7,Torch HS3,Extended Mag,Light Mag,Firmly Planted,Shield Disorient,Tier 3 Weapon,-----,-----,-----,2,1,1,Y
cerberus+1,Exotic,Auto Rifle,950,Kinetic,-----,-----,Four-Headed Dog,Rifled Barrel,Fluted Barrel,Full Bore,Spread Shot Package,Tracker Disabled,Cerberus+1 Catalyst,-----,-----,-----,-----,0,0,0,Exotic
zenobia-d,Legendary,Rocket Launcher,959,Arc,Blast Radius,1.0,Häkke Precision Frame,Confined Launch,Quick Launch,Alloy Casing,High-Velocity Rounds,Rangefinder,Ambitious Assassin,Tier 1 Weapon,-----,-----,-----,1,1,1,Y
the huckleberry,Exotic,Submachine Gun,950,Kinetic,-----,-----,Ride the Bull,Fluted Barrel,Ricochet Rounds,Rampage,Short-Action Stock,Huckleberry Catalyst,-----,-----,-----,-----,-----,0,0,0,Exotic
bayesian msu,Rare,Pulse Rifle,960,Kinetic,-----,-----,Adaptive Frame,Red Dot-ORS,Alloy Magazine,Full Auto Trigger System,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
bad reputation,Legendary,Submachine Gun,959,Solar,Handling,1.0,Precision Frame,King Dot K2,Dusk Dot D1,Alloy Magazine,Light Mag,Grave Robber,Kill Clip,Glacial Whisper,Tier 1 Weapon,-----,-----,3,1,0,Y
bad reputation,Legendary,Submachine Gun,958,Solar,Handling,1.0,Precision Frame,Wolf Sight W1,King Dot K2,High-Caliber Rounds,Ricochet Rounds,Grave Robber,Outlaw,Glacial Whisper,Tier 1 Weapon,-----,-----,3,1,0,Y
ros lysis ii,Rare,Auto Rifle,960,Kinetic,-----,-----,Adaptive Frame,Red Dot-OAS,Flared Magwell,Dynamic Sway Reduction,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
damietta-lr2,Rare,Sniper Rifle,959,Solar,-----,-----,Aggressive Frame,Ambush SLH25,Accurized Rounds,Dragonfly,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
plemusa-b,Rare,Grenade Launcher,960,Solar,-----,-----,Adaptive Frame,Volatile Launch,Proximity Grenades,Auto-Loading Holster,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
badlander,Legendary,Shotgun,959,Arc,Handling,1.0,Rapid-Fire Frame,Rifled Barrel,Smoothbore,Tactical Mag,Accurized Rounds,Pulse Monitor,Snapshot Sights,Glacial Whisper,Tier 1 Weapon,-----,-----,3,0,1,Y
ten paces,Legendary,Hand Cannon,957,Kinetic,Handling,5.0,Adaptive Frame,HitMark HCS,Crossfire HCS,Appended Mag,Extended Mag,Moving Target,Field Prep,Glacial Whisper,Tier 5 Weapon,-----,-----,3,0,1,N
smuggler's word,Legendary,Sidearm,949,Kinetic,Range,2.0,Aggressive Burst,Tactic SAS,Target SAS,Alloy Magazine,Light Mag,Outlaw,Rampage,Glacial Whisper,Tier 2 Weapon,-----,-----,4,1,0,Y
agenda 5,Legendary,Pulse Rifle,959,Solar,-----,-----,Lightweight Frame,Impulse MS3,Extended Mag,Zen Moment,Masterwork Upgrade,-----,-----,-----,-----,-----,-----,1,1,1,N
the chaperone,Exotic,Shotgun,949,Kinetic,-----,-----,Precision Slug,Hammer-Forged Rifling,Accurized Rounds,The Roadborn,Hand-Laid Stock,-----,-----,-----,-----,-----,-----,0,0,0,Exotic
bad reputation,Legendary,Submachine Gun,958,Solar,Handling,4.0,Precision Frame,King Dot K2,Dusk Dot D1,Appended Mag,Flared Magwell,Genesis,Outlaw,Distant Earth,Tier 4 Weapon,-----,-----,3,1,1,Y
edge transit,Legendary,Grenade Launcher,947,Void,Blast Radius,2.0,Adaptive Frame,Volatile Launch,Confined Launch,Proximity Grenades,High-Explosive Ordnance,Rangefinder,Rampage,Glacial Whisper,Radar Tuner,Tier 2 Weapon,-----,4,1,1,Y
rest for the wicked,Rare,Sword,960,Void,-----,-----,Adaptive Frame,Enduring Blade,Balanced Guard,Assassin's Blade,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
play of the game,Legendary,Grenade Launcher,955,Arc,Handling,3.0,Adaptive Frame,Volatile Launch,Countermass,Smart Drift Control,Spike Grenades,High-Explosive Ordnance,Auto-Loading Holster,Quickdraw,Crucible Legacy,Tier 3 Weapon,-----,4,0,1,N
avalanche,Legendary,Machine Gun,958,Solar,Range,2.0,Adaptive Frame,SLO-21 Post,SPO-26 Front,Ricochet Rounds,Flared Magwell,Under Pressure,Quickdraw,Tier 2 Weapon,-----,-----,-----,3,0,1,Y
ros lysis ii,Rare,Auto Rifle,960,Kinetic,-----,-----,Adaptive Frame,Red Dot-OAS,Flared Magwell,Dynamic Sway Reduction,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
bygones,Legendary,Pulse Rifle,951,Kinetic,Range,1.0,Adaptive Frame,Arrowhead Brake,Smallbore,Armor-Piercing Rounds,Flared Magwell,Opening Shot,Slideshot,Gambit Chrome,Tier 1 Weapon,-----,-----,3,0,1,Y
no turning back,Legendary,Combat Bow,957,Kinetic,Accuracy,3.0,Precision Frame,High Tension String,Fiberglass Arrow Shaft,Explosive Head,Hip-Fire Grip,Distant Earth,Icarus Grip,Tier 3 Weapon,-----,-----,-----,3,0,1,N
death by scorn,Legendary,Sidearm,959,Void,Handling,5.0,Aggressive Burst,Shortspec SAS,Ricochet Rounds,Headseeker,Full Auto Trigger System,Distant Earth,Tier 5 Weapon,-----,-----,-----,-----,2,1,1,N
lonesome,Legendary,Sidearm,948,Kinetic,Stability,1.0,Precision Frame,Full Bore,Polygonal Rifling,Appended Mag,Armor-Piercing Rounds,Grave Robber,Demolitionist,Tier 1 Weapon,-----,-----,-----,3,1,0,Y
hammerhead,Legendary,Machine Gun,938,Void,Reload Speed,4.0,Adaptive Frame,Fluted Barrel,Hammer-Forged Rifling,Armor-Piercing Rounds,High-Caliber Rounds,Dynamic Sway Reduction,Ambitious Assassin,New Age Black Armory,Tier 4 Weapon,Base Radiance,-----,3,1,0,Y
terran wind,Legendary,Grenade Launcher,950,Solar,Handling,2.0,Aggressive Frame,Countermass,Remote Detonation,Quickdraw,Rampage,Glacial Whisper,Tier 2 Weapon,-----,-----,-----,-----,1,1,1,N
toil and trouble,Legendary,Shotgun,949,Kinetic,Range,1.0,Aggressive Frame,Rifled Barrel,Barrel Shroud,Assault Mag,Accurized Rounds,Slideshot,Rampage,Vanguard Veteran,Tier 1 Weapon,-----,-----,4,1,1,Y
trax lysis ii,Rare,Scout Rifle,960,Kinetic,-----,-----,High-Impact Frame,Focus Lens FLS2,Steady Rounds,Full Auto Trigger System,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
elatha fr4,Legendary,Fusion Rifle,958,Solar,Range,1.0,High-Impact Frame,Signal MS5,Jolt PS,Accelerated Coils,Particle Repeater,Field Prep,Snapshot Sights,Tier 1 Weapon,-----,-----,-----,2,0,1,Y
through fire and flood,Legendary,Grenade Launcher,947,Arc,Velocity,2.0,Adaptive Frame,Volatile Launch,Quick Launch,Proximity Grenades,Spike Grenades,Field Prep,Quickdraw,Distant Earth,Tier 2 Weapon,-----,-----,3,1,1,N
stampede mk.32,Rare,Grenade Launcher,960,Void,-----,-----,Aggressive Frame,Confined Launch,Sticky Grenades,Quickdraw,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
service revolver,Legendary,Hand Cannon,948,Kinetic,Reload Speed,2.0,Precision Frame,Fastdraw HCS,HitMark HCS,Extended Mag,Alloy Magazine,Outlaw,Zen Moment,Vanguard Veteran,Tier 2 Weapon,-----,-----,3,1,0,Y
nameless midnight,Legendary,Scout Rifle,948,Kinetic,Range,1.0,Precision Frame,Hitmark IS,Red Dot 2 MOA,Red Dot Micro,Tactical Mag,Flared Magwell,Hip-Fire Grip,Outlaw,Vanguard Veteran,Tier 1 Weapon,-----,3,1,1,Y
hard truths,Legendary,Submachine Gun,951,Kinetic,Range,5.0,Aggressive Frame,IS 2 Classic,Model 8 Red,Appended Mag,Light Mag,Zen Moment,Kill Clip,Crucible Legacy,Tier 5 Weapon,-----,-----,4,1,1,Y
reginar-b,Rare,Rocket Launcher,960,Void,-----,-----,Häkke Precision Frame,Quick Launch,Black Powder,Field Prep,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
the last dance,Legendary,Sidearm,948,Arc,Reload Speed,5.0,Omolon Adaptive Frame,QuickDot SAS,Shortspec SAS,Target SAS,Alloy Magazine,Appended Mag,Outlaw,Kill Clip,Vanguard Veteran,Tier 5 Weapon,-----,4,1,0,Y
the last dance,Legendary,Sidearm,948,Arc,Range,1.0,Omolon Adaptive Frame,Shortspec SAS,Tactic SAS,FarPoint SAS,High-Caliber Rounds,Flared Magwell,Moving Target,Opening Shot,Vanguard Veteran,Tier 1 Weapon,-----,4,0,1,Y
rose,Legendary,Hand Cannon,958,Kinetic,Range,1.0,Lightweight Frame,Chambered Compensator,Accurized Rounds,Outlaw,Polymer Grip,Tier 1 Weapon,-----,-----,-----,-----,-----,1,1,1,N
crooked fang-4fr,Legendary,Linear Fusion Rifle,918,Void,Charge Time,1.0,Precision Frame,Chambered Compensator,Fluted Barrel,Ionized Battery,Projection Fuse,Auto-Loading Holster,Rampage,Tier 1 Weapon,-----,-----,-----,3,1,1,Y
hard truths,Legendary,Submachine Gun,959,Kinetic,Range,3.0,Aggressive Frame,IS 2 Classic,Model 6 Loop,Armor-Piercing Rounds,High-Caliber Rounds,Field Prep,High-Impact Reserves,Crucible Legacy,Tier 3 Weapon,-----,-----,3,1,0,Y
suros regime,Exotic,Auto Rifle,950,Kinetic,-----,-----,SUROS Legacy,Hammer-Forged Rifling,Tactical Mag,Spinning Up,Hand-Laid Stock,SUROS Regime Catalyst,-----,-----,-----,-----,-----,0,0,0,Exotic
nightshade,Legendary,Pulse Rifle,948,Kinetic,Handling,5.0,Lightweight Frame,Rifle Scope ST,Cleanshot IS,Appended Mag,Extended Mag,Moving Target,Headseeker,Vanguard Veteran,Tier 5 Weapon,-----,-----,3,0,1,Y
sole survivor,Legendary,Sniper Rifle,960,Arc,Reload Speed,1.0,Adaptive Frame,Arrowhead Brake,Fluted Barrel,Armor-Piercing Rounds,High-Caliber Rounds,Fourth Time's the Charm,Opening Shot,Tier 1 Weapon,-----,-----,-----,3,1,0,Y
long shadow,Legendary,Sniper Rifle,948,Kinetic,Handling,2.0,Adaptive Frame,ATA Scout,ATC Rex,Accurized Rounds,Steady Rounds,Rapid Hit,Triple Tap,Vanguard Veteran,Tier 2 Weapon,-----,-----,3,1,0,Y
subtle calamity,Legendary,Combat Bow,955,Void,Accuracy,3.0,Precision Frame,Agile Bowstring,Polymer String,Carbon Arrow Shaft,Straight Fletching,Dragonfly,Explosive Head,Glacial Whisper,Tier 3 Weapon,-----,-----,4,1,0,Y
last hope,Legendary,Sidearm,960,Arc,Range,1.0,Omolon Adaptive Frame,Control SAS,Tactic SAS,Extended Mag,Appended Mag,Rangefinder,Multikill Clip,Tier 1 Weapon,-----,-----,-----,3,1,1,Y
through fire and flood,Legendary,Grenade Launcher,957,Arc,Velocity,1.0,Adaptive Frame,Confined Launch,Countermass,Thermoplastic Grenades,High-Velocity Rounds,Snapshot Sights,Ambitious Assassin,Glacial Whisper,Tier 1 Weapon,-----,-----,2,1,0,N
psi cirrus ii,Rare,Pulse Rifle,960,Kinetic,-----,-----,Rapid-Fire Frame,Red Dot-ORS1,Extended Mag,Auto-Loading Holster,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
subtle calamity,Legendary,Combat Bow,960,Void,Stability,1.0,Precision Frame,Tactile String,Natural String,Carbon Arrow Shaft,Straight Fletching,Snapshot Sights,Explosive Head,Distant Earth,Tier 1 Weapon,-----,-----,3,1,1,Y
steel sybil z-14,Legendary,Sword,940,Void,Impact,2.0,Adaptive Frame,Hungry Edge,Jagged Edge,Tempered Edge,Enduring Guard,Heavy Guard,Relentless Strikes,Whirlwind Blade,Crucible Legacy,Tier 2 Weapon,-----,4,1,0,N
dissonance-34,Rare,Sidearm,960,Void,-----,-----,SUROS Rapid-Fire,Shortspec SAS,Ricochet Rounds,Moving Target,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
cold front,Legendary,Submachine Gun,958,Kinetic,Handling,2.0,Aggressive Frame,Arrowhead Brake,Smallbore,Accurized Rounds,Drop Mag,Zen Moment,Dynamic Sway Reduction,Tier 2 Weapon,-----,-----,-----,3,0,1,Y
philippis-b,Rare,Submachine Gun,960,Kinetic,-----,-----,Precision Frame,GA Post,Accurized Rounds,Dynamic Sway Reduction,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
crown-splitter,Legendary,Sword,958,Void,-----,-----,Aggressive Frame,Tempered Edge,Heavy Guard,Tireless Blade,Masterwork Upgrade,-----,-----,-----,-----,-----,-----,2,1,1,N
bad news xf4354,Legendary,Hand Cannon,959,Kinetic,Reload Speed,1.0,Aggressive Frame,Crossfire HCS,Sureshot HCS,Tactical Mag,Flared Magwell,Moving Target,Kill Clip,Refurbished Black Armory,Tier 1 Weapon,-----,-----,3,0,1,Y
vinegaroon-2si,Rare,Sidearm,960,Solar,-----,-----,Lightweight Frame,Tactic SAS,Drop Mag,Opening Shot,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
avalanche,Legendary,Machine Gun,957,Solar,Stability,1.0,Adaptive Frame,SPO-28 Front,SPO-26 Front,Appended Mag,Ricochet Rounds,Feeding Frenzy,Hip-Fire Grip,Tier 1 Weapon,-----,-----,-----,3,1,0,Y
refrain-23,Rare,Auto Rifle,960,Solar,-----,-----,Adaptive Frame,SLO-12 Post,Ricochet Rounds,Rampage,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
beloved,Legendary,Sniper Rifle,948,Solar,Handling,5.0,Adaptive Frame,Chambered Compensator,Full Bore,Extended Mag,Flared Magwell,Demolitionist,Rampage,Shadow Gilt,Tier 5 Weapon,-----,-----,4,1,0,Y
tango-45 xk5094,Legendary,Scout Rifle,952,Solar,Range,1.0,Precision Frame,SRO-41 Ocular,SLO-21 Post,SPO-28 Front,Alloy Magazine,Flared Magwell,Grave Robber,Dragonfly,Refurbished Black Armory,Tier 1 Weapon,-----,3,1,0,Y
two-tailed fox,Exotic,Rocket Launcher,950,Void,-----,-----,Twintails,Confined Launch,High-Velocity Rounds,Play with Your Prey,Composite Stock,-----,-----,-----,-----,-----,-----,0,0,0,Exotic
roderic-c,Rare,Sidearm,960,Kinetic,-----,-----,Precision Frame,Control SAS,Accurized Rounds,Rampage,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
bad juju,Exotic,Pulse Rifle,950,Kinetic,-----,-----,String of Curses,Hammer-Forged Rifling,Steady Rounds,Hip-Fire Grip,Short-Action Stock,Empty Catalyst Socket,-----,-----,-----,-----,-----,0,0,0,Exotic
hoosegow xe5837,Legendary,Rocket Launcher,951,Solar,Handling,1.0,Adaptive Frame,Hard Launch,Linear Compensator,Smart Drift Control,Alloy Casing,Black Powder,Field Prep,Quickdraw,Refurbished Black Armory,Tier 1 Weapon,-----,4,1,0,Y
avalanche,Legendary,Machine Gun,958,Solar,Stability,1.0,Adaptive Frame,SRO-41 Ocular,SLO-21 Post,Armor-Piercing Rounds,Ricochet Rounds,Feeding Frenzy,Hip-Fire Grip,Tier 1 Weapon,-----,-----,-----,3,1,0,Y
through fire and flood,Legendary,Grenade Launcher,958,Arc,Reload Speed,2.0,Adaptive Frame,Confined Launch,Quick Launch,High-Explosive Ordnance,High-Velocity Rounds,Auto-Loading Holster,Rampage,Distant Earth,Tier 2 Weapon,-----,-----,3,1,0,N
refrain-23,Rare,Auto Rifle,960,Solar,-----,-----,Adaptive Frame,SLO-12 Post,Ricochet Rounds,Rampage,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
cold front,Legendary,Submachine Gun,958,Kinetic,Stability,5.0,Aggressive Frame,Corkscrew Rifling,Fluted Barrel,Drop Mag,Flared Magwell,Underdog,Vorpal Weapon,Tier 5 Weapon,-----,-----,-----,3,0,1,Y
bayesian msu,Rare,Pulse Rifle,960,Kinetic,-----,-----,Adaptive Frame,Red Dot-ORS,Alloy Magazine,Full Auto Trigger System,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
hard truths,Legendary,Submachine Gun,960,Kinetic,Range,1.0,Aggressive Frame,IS 5 Circle,Model 8 Red,Armor-Piercing Rounds,High-Caliber Rounds,Under Pressure,Dynamic Sway Reduction,Crucible Legacy,Tier 1 Weapon,-----,-----,2,1,1,Y
kindled orchid,Legendary,Hand Cannon,959,Void,Reload Speed,1.0,Adaptive Frame,Corkscrew Rifling,Full Bore,Steady Rounds,Alloy Magazine,Rangefinder,Ambitious Assassin,New Age Black Armory,Tier 1 Weapon,Base Radiance,-----,2,0,1,Y
wish-ender,Exotic,Combat Bow,949,Kinetic,-----,-----,Queen's Wrath,High Tension String,Anti-Taken Fletching,Broadhead,-----,-----,-----,-----,-----,-----,-----,0,0,0,Exotic
atalanta-d xg1992,Legendary,Submachine Gun,959,Kinetic,Reload Speed,1.0,Precision Frame,GB Iron,SC Holo,Alloy Magazine,Flared Magwell,Snapshot Sights,Auto-Loading Holster,Refurbished Black Armory,Tier 1 Weapon,-----,-----,1,1,1,Y
furina-2mg,Rare,Submachine Gun,960,Void,-----,-----,Lightweight Frame,Fluted Barrel,Tactical Mag,Snapshot Sights,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
madrugada sr2,Rare,Scout Rifle,960,Void,-----,-----,Lightweight Frame,Candle PS,Alloy Magazine,Explosive Payload,Nessus Pursuit (Worn),-----,-----,-----,-----,-----,-----,0,0,0,Rare
terran wind,Legendary,Grenade Launcher,958,Solar,Velocity,4.0,Aggressive Frame,Countermass,Remote Detonation,Quickdraw,Rampage,Glacial Whisper,Tier 4 Weapon,-----,-----,-----,-----,1,1,1,N
bad omens,Legendary,Rocket Launcher,957,Void,Velocity,3.0,Aggressive Frame,Confined Launch,Linear Compensator,Black Powder,High-Velocity Rounds,Snapshot Sights,Quickdraw,Gambit Leather,Tier 3 Weapon,-----,-----,4,0,1,Y
aachen-lr2,Rare,Sniper Rifle,960,Kinetic,-----,-----,Adaptive Frame,EagleEye SLR20,Armor-Piercing Rounds,Snapshot Sights,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
