Name,light.gg URL,PvX,Weap Type,Archetype,Perk 1,Perk 2,Perk 3,Perk 4
eternal slumber,https://www.light.gg/db/items/1523647826,pvp,Pulse Rifle,Adaptive Frame,[],[],[],[]
eystein-d,https://www.light.gg/db/items/1291586825,pve,Pulse Rifle,High-Impact Frame,[],[],[],[]
eystein-d,https://www.light.gg/db/items/1291586825,pvp,Pulse Rifle,High-Impact Frame,[],[],[],[]
eystein-d,https://www.light.gg/db/items/3199662972,pve,Pulse Rifle,High-Impact Frame,"['GB Iron', 'SC Holo']","['Flared Magwell', 'Alloy Magazine', 'Light Mag']","['Firmly Planted', 'Under Pressure', 'Outlaw']","['Zen Moment', 'Rampage', 'Kill Clip', 'Full Auto Trigger System']"
eystein-d,https://www.light.gg/db/items/3199662972,pvp,Pulse Rifle,High-Impact Frame,"['GB Iron', 'SC Holo']","['Flared Magwell', 'High-Caliber Rounds']","['Firmly Planted', 'Under Pressure', 'Moving Target']","['Zen Moment', 'Snapshot Sights', 'Headseeker']"
go figure,https://www.light.gg/db/items/4138174248,pve,Pulse Rifle,Aggressive Burst,"['Wolf Sight W1', 'King Sight K1', 'Dusk Sight D1', 'Dusk Dot D1']","['High-Caliber Rounds', 'Flared Magwell']","['Firmly Planted', 'Zen Moment', 'Outlaw']","['Rampage', 'Kill Clip', 'High-Impact Reserves']"
go figure,https://www.light.gg/db/items/4138174248,pvp,Pulse Rifle,Aggressive Burst,"['Wolf Sight W1', 'King Sight K1', 'Dusk Sight D1', 'Dusk Dot D1']","['High-Caliber Rounds', 'Flared Magwell']","['Firmly Planted', 'Zen Moment', 'Moving Target']","['Rampage', 'Rangefinder', 'Headseeker']"
legal action ii,https://www.light.gg/db/items/1760543913,pve,Pulse Rifle,High-Impact Frame,[],[],[],[]
legal action ii,https://www.light.gg/db/items/1760543913,pvp,Pulse Rifle,High-Impact Frame,[],[],[],[]
lincoln green,https://www.light.gg/db/items/1513927138,pve,Pulse Rifle,Rapid-Fire Frame,[],[],[],[]
lincoln green,https://www.light.gg/db/items/1513927138,pvp,Pulse Rifle,Rapid-Fire Frame,[],[],[],[]
machina dei 4,https://www.light.gg/db/items/161537636,pve,Pulse Rifle,High-Impact Frame,[],[],[],[]
machina dei 4,https://www.light.gg/db/items/161537636,pvp,Pulse Rifle,High-Impact Frame,[],[],[],[]
magnum shepherd,https://www.light.gg/db/items/210065223,pve,Pulse Rifle,Adaptive Frame,[],[],[],[]
magnum shepherd,https://www.light.gg/db/items/210065223,pvp,Pulse Rifle,Adaptive Frame,[],[],[],[]
nightshade,https://www.light.gg/db/items/339163900,pve,Pulse Rifle,Lightweight Frame,[],[],[],[]
nightshade,https://www.light.gg/db/items/339163900,pvp,Pulse Rifle,Lightweight Frame,[],[],[],[]
nightshade,https://www.light.gg/db/items/792755504,pve,Pulse Rifle,Lightweight Frame,"['Cleanshot IS', 'Hitmark IS', 'Red Dot Micro']","['Tactical Mag', 'Appended Mag', 'Extended Mag', 'Flared Magwell']","['Outlaw', 'Ambitious Assassin']","['Rampage', 'Kill Clip', 'Full Auto Trigger System']"
nightshade,https://www.light.gg/db/items/792755504,pvp,Pulse Rifle,Lightweight Frame,"['Cleanshot IS', 'Hitmark IS', 'Red Dot Micro']","['Tactical Mag', 'Accurized Rounds', 'Steady Rounds']","['Outlaw', 'Rangefinder', 'Moving Target']","['Rampage', 'Kill Clip', 'Headseeker', 'Zen Moment']"
redrix's broadsword,https://www.light.gg/db/items/1161276682,pve,Pulse Rifle,High-Impact Frame,[],[],[],[]
redrix's broadsword,https://www.light.gg/db/items/1161276682,pvp,Pulse Rifle,High-Impact Frame,[],[],[],[]
redrix's claymore,https://www.light.gg/db/items/191996029,pve,Pulse Rifle,High-Impact Frame,[],[],[],[]
redrix's claymore,https://www.light.gg/db/items/191996029,pvp,Pulse Rifle,High-Impact Frame,[],[],[],[]
relentless,https://www.light.gg/db/items/1187594590,pve,Pulse Rifle,High-Impact Frame,[],[],[],[]
relentless,https://www.light.gg/db/items/1187594590,pvp,Pulse Rifle,High-Impact Frame,[],[],[],[]
sacred provenance,https://www.light.gg/db/items/2408405461,pve,Pulse Rifle,Aggressive Burst,"['Arrowhead Brake', 'Smallbore', 'Chambered Compensator', 'Corkscrew Rifling', 'Fluted Barrel', 'Hammer-Forged Rifling', 'Polygonal Rifling']","['High-Caliber Rounds', 'Ricochet Rounds', 'Light Mag', 'Extended Mag']","['Rapid Hit', 'Outlaw', 'Full Auto Trigger System']","['Kill Clip', 'Quickdraw']"
sacred provenance,https://www.light.gg/db/items/2408405461,pvp,Pulse Rifle,Aggressive Burst,"['Arrowhead Brake', 'Smallbore', 'Full Bore']","['High-Caliber Rounds', 'Ricochet Rounds', 'Light Mag']","['Rapid Hit', 'Outlaw']","['Kill Clip', 'Quickdraw', 'Snapshot Sights']"
the marine,https://www.light.gg/db/items/3529780349,pve,Pulse Rifle,Adaptive Frame,[],[],[],[]
the marine,https://www.light.gg/db/items/3529780349,pvp,Pulse Rifle,Adaptive Frame,[],[],[],[]
the time-worn spire,https://www.light.gg/db/items/4425887,pve,Pulse Rifle,Rapid-Fire Frame,[],[],[],[]
the time-worn spire,https://www.light.gg/db/items/4425887,pvp,Pulse Rifle,Rapid-Fire Frame,[],[],[],[]
three graves,https://www.light.gg/db/items/1587439031,pve,Pulse Rifle,High-Impact Frame,[],[],[],[]
three graves,https://www.light.gg/db/items/1587439031,pvp,Pulse Rifle,High-Impact Frame,[],[],[],[]
call to serve,https://www.light.gg/db/items/1885753222,pve,Scout Rifle,Precision Frame,[],[],[],[]
call to serve,https://www.light.gg/db/items/1885753222,pvp,Scout Rifle,Precision Frame,[],[],[],[]
does not compute,https://www.light.gg/db/items/4193877020,pve,Scout Rifle,High-Impact Frame,[],[],[],[]
does not compute,https://www.light.gg/db/items/4193877020,pvp,Scout Rifle,High-Impact Frame,[],[],[],[]
does not compute,https://www.light.gg/db/items/2278995296,pve,Scout Rifle,High-Impact Frame,"['Cleanshot IS', 'Hitmark IS', 'Red Dot Micro']","['Tactical Mag', 'Flared Magwell', 'Appended Mag', 'Alloy Magazine']","['Triple Tap', 'High-Impact Reserves']","['Outlaw', 'Kill Clip', 'Rampage']"
does not compute,https://www.light.gg/db/items/2278995296,pvp,Scout Rifle,High-Impact Frame,"['Cleanshot IS', 'Hitmark IS', 'Red Dot Micro']","['Tactical Mag', 'Flared Magwell', 'Steady Rounds']","['Zen Moment', 'Moving Target']","['Outlaw', 'Kill Clip', 'Explosive Payload', 'Opening Shot']"
frontier justice,https://www.light.gg/db/items/273396910,pve,Scout Rifle,High-Impact Frame,[],[],[],[]
frontier justice,https://www.light.gg/db/items/273396910,pvp,Scout Rifle,High-Impact Frame,[],[],[],[]
garden progeny 1,https://www.light.gg/db/items/472169727,pve,Scout Rifle,High-Impact Frame,[],[],[],[]
garden progeny 1,https://www.light.gg/db/items/472169727,pvp,Scout Rifle,High-Impact Frame,[],[],[],[]
good counsel ix,https://www.light.gg/db/items/3435238843,pve,Scout Rifle,High-Impact Frame,[],[],[],[]
good counsel ix,https://www.light.gg/db/items/3435238843,pvp,Scout Rifle,High-Impact Frame,[],[],[],[]
haunted earth,https://www.light.gg/db/items/2625782212,pve,Scout Rifle,High-Impact Frame,[],[],[],[]
haunted earth,https://www.light.gg/db/items/2625782212,pvp,Scout Rifle,High-Impact Frame,[],[],[],[]
imperative,https://www.light.gg/db/items/2314999489,pve,Scout Rifle,High-Impact Frame,"['Corkscrew Rifling', 'Fluted Barrel', 'Polygonal Rifling']","['Tactical Mag', 'Steady Rounds', 'Appended Mag', 'Flared Magwell']","['Eye of the Storm', 'Outlaw', 'Triple Tap']","['Explosive Payload', 'Rampage', 'Multikill Clip']"
imperative,https://www.light.gg/db/items/2314999489,pvp,Scout Rifle,High-Impact Frame,"['Corkscrew Rifling', 'Fluted Barrel', 'Hammer-Forged Rifling']","['Tactical Mag', 'Steady Rounds', 'Accurized Rounds']","['Eye of the Storm', 'Outlaw', 'No Distractions']","['Explosive Payload', 'Rampage', 'Opening Shot']"
nameless midnight,https://www.light.gg/db/items/1960218487,pve,Scout Rifle,Precision Frame,[],[],[],[]
nameless midnight,https://www.light.gg/db/items/1960218487,pvp,Scout Rifle,Precision Frame,[],[],[],[]
nameless midnight,https://www.light.gg/db/items/3040742682,pve,Scout Rifle,Precision Frame,"['Cleanshot IS', 'Hitmark IS', 'Red Dot Micro', 'Red Dot 2 MOA']","['Tactical Mag', 'Steady Rounds', 'Extended Mag', 'Flared Magwell']","['Triple Tap', 'High-Impact Reserves']","['Outlaw', 'Rampage', 'Explosive Payload', 'Kill Clip']"
nameless midnight,https://www.light.gg/db/items/3040742682,pvp,Scout Rifle,Precision Frame,"['Cleanshot IS', 'Hitmark IS', 'Red Dot Micro']","['Tactical Mag', 'Steady Rounds']","['Zen Moment', 'Moving Target']","['Outlaw', 'Rampage', 'Opening Shot']"
niflheim frost,https://www.light.gg/db/items/1350102270,pve,Scout Rifle,Precision Frame,[],[],[],[]
niflheim frost,https://www.light.gg/db/items/1350102270,pvp,Scout Rifle,Precision Frame,[],[],[],[]
night watch,https://www.light.gg/db/items/3504336176,pve,Scout Rifle,Lightweight Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Fluted Barrel']","['Tactical Mag', 'Appended Mag']","['Outlaw', 'Rapid Hit', 'Subsistence']","['Explosive Payload', 'Rampage', 'Multikill Clip']"
night watch,https://www.light.gg/db/items/3504336176,pvp,Scout Rifle,Lightweight Frame,"['Arrowhead Brake', 'Extended Barrel']","['Tactical Mag', 'Accurized Rounds', 'Steady Rounds', 'Flared Magwell']","['Outlaw', 'Rapid Hit']","['Explosive Payload', 'Moving Target', 'Demolitionist']"
patron of lost causes,https://www.light.gg/db/items/2723241847,pve,Scout Rifle,Lightweight Frame,"['Hammer-Forged Rifling', 'Smallbore', 'Chambered Compensator', 'Corkscrew Rifling']","['Tactical Mag', 'Steady Rounds', 'Appended Mag', 'Flared Magwell']","['Rapid Hit', 'Full Auto Trigger System']","['Vorpal Weapon', 'Explosive Payload', 'Osmosis']"
patron of lost causes,https://www.light.gg/db/items/2723241847,pvp,Scout Rifle,Lightweight Frame,"['Hammer-Forged Rifling', 'Smallbore', 'Fluted Barrel']","['Tactical Mag', 'Steady Rounds', 'Accurized Rounds']",['Rapid Hit'],"['Vorpal Weapon', 'Explosive Payload', 'Opening Shot']"
purpose,https://www.light.gg/db/items/2516360525,pve,Scout Rifle,Lightweight Frame,[],[],[],[]
purpose,https://www.light.gg/db/items/2516360525,pvp,Scout Rifle,Lightweight Frame,[],[],[],[]
randy's throwing knife,https://www.light.gg/db/items/3535742959,pve,Scout Rifle,Rapid-Fire Frame,[],[],[],[]
randy's throwing knife,https://www.light.gg/db/items/3535742959,pvp,Scout Rifle,Rapid-Fire Frame,[],[],[],[]
song of justice vi,https://www.light.gg/db/items/3435238842,pve,Scout Rifle,High-Impact Frame,[],[],[],[]
song of justice vi,https://www.light.gg/db/items/3435238842,pvp,Scout Rifle,High-Impact Frame,[],[],[],[]
talons of the eagle,https://www.light.gg/db/items/1982711279,pve,Scout Rifle,High-Impact Frame,"['Arrowhead Brake', 'Corkscrew Rifling', 'Fluted Barrel', 'Polygonal Rifling']","['Tactical Mag', 'Steady Rounds']","['Zen Moment', 'Outlaw', 'Full Auto Trigger System']","['Rampage', 'Explosive Payload']"
talons of the eagle,https://www.light.gg/db/items/1982711279,pvp,Scout Rifle,High-Impact Frame,"['Arrowhead Brake', 'Corkscrew Rifling', 'Fluted Barrel']",['Tactical Mag'],['Zen Moment'],"['Opening Shot', 'Moving Target']"
telemachus-c,https://www.light.gg/db/items/541053086,pve,Scout Rifle,High-Impact Frame,[],[],[],[]
telemachus-c,https://www.light.gg/db/items/541053086,pvp,Scout Rifle,High-Impact Frame,[],[],[],[]
the dream,https://www.light.gg/db/items/3826803617,pve,Scout Rifle,High-Impact Frame,[],[],[],[]
the dream,https://www.light.gg/db/items/3826803617,pvp,Scout Rifle,High-Impact Frame,[],[],[],[]
the guiding sight,https://www.light.gg/db/items/3890960908,pve,Scout Rifle,High-Impact Frame,[],[],[],[]
the guiding sight,https://www.light.gg/db/items/3890960908,pvp,Scout Rifle,High-Impact Frame,[],[],[],[]
the scholar,https://www.light.gg/db/items/2478792241,pve,Scout Rifle,High-Impact Frame,"['Corkscrew Rifling', 'Smallbore', 'Fluted Barrel']","['High-Caliber Rounds', 'Ricochet Rounds', 'Appended Mag']","['Quickdraw', 'Full Auto Trigger System']","['Vorpal Weapon', 'Elemental Capacitor']"
the scholar,https://www.light.gg/db/items/2478792241,pvp,Scout Rifle,High-Impact Frame,"['Corkscrew Rifling', 'Smallbore', 'Hammer-Forged Rifling', 'Polygonal Rifling']","['High-Caliber Rounds', 'Ricochet Rounds']","['Quickdraw', 'Opening Shot']","['Vorpal Weapon', 'Elemental Capacitor', 'No Distractions', 'Celerity']"
transfiguration,https://www.light.gg/db/items/3799980700,pve,Scout Rifle,High-Impact Frame,"['Fluted Barrel', 'Polygonal Rifling']","['Tactical Mag', 'Steady Rounds']",['Rampage'],['Kill Clip']
transfiguration,https://www.light.gg/db/items/3799980700,pvp,Scout Rifle,High-Impact Frame,[],[],[],[]
wrong side of right,https://www.light.gg/db/items/3957603605,pve,Scout Rifle,High-Impact Frame,[],[],[],[]
wrong side of right,https://www.light.gg/db/items/3957603605,pvp,Scout Rifle,High-Impact Frame,[],[],[],[]
astral horizon,https://www.light.gg/db/items/1697682876,pve,Shotgun,Aggressive Frame,"['Smallbore', 'Barrel Shroud', 'Corkscrew Rifling']","['Assault Mag', 'Tactical Mag', 'Appended Mag']","['Slideshot', 'Field Prep', 'Auto-Loading Holster']","['Elemental Capacitor', 'Swashbuckler', 'One-Two Punch']"
astral horizon,https://www.light.gg/db/items/1697682876,pvp,Shotgun,Aggressive Frame,"['Smallbore', 'Barrel Shroud', 'Corkscrew Rifling', 'Full Choke']","['Assault Mag', 'Tactical Mag', 'Light Mag']",['Quickdraw'],"['Elemental Capacitor', 'Celerity', 'Opening Shot']"
baligant,https://www.light.gg/db/items/731147179,pve,Shotgun,Aggressive Frame,[],[],[],[]
baligant,https://www.light.gg/db/items/731147179,pvp,Shotgun,Aggressive Frame,[],[],[],[]
baligant xu7743,https://www.light.gg/db/items/3461377698,pve,Shotgun,Aggressive Frame,"['Rifled Barrel', 'Barrel Shroud', 'Corkscrew Rifling']","['Assault Mag', 'Appended Mag', 'Tactical Mag', 'Extended Mag']","['Slideshot', 'Threat Detector', 'Full Auto Trigger System']","['Rampage', 'Outlaw', 'Auto-Loading Holster']"
baligant xu7743,https://www.light.gg/db/items/3461377698,pvp,Shotgun,Aggressive Frame,"['Rifled Barrel', 'Full Choke']",['Accurized Rounds'],['Slideshot'],"['Rampage', 'Snapshot Sights', 'Moving Target']"
blasphemer,https://www.light.gg/db/items/2782847179,pve,Shotgun,Precision Frame,[],[],[],[]
blasphemer,https://www.light.gg/db/items/2782847179,pvp,Shotgun,Precision Frame,[],[],[],[]
dust rock blues,https://www.light.gg/db/items/636912560,pve,Shotgun,Precision Frame,"['Rifled Barrel', 'Full Choke']","['Assault Mag', 'Appended Mag', 'Tactical Mag']","['Slideshot', 'Threat Detector']","['Rampage', 'Grave Robber', 'Full Auto Trigger System']"
dust rock blues,https://www.light.gg/db/items/636912560,pvp,Shotgun,Precision Frame,"['Rifled Barrel', 'Full Choke']",['Accurized Rounds'],"['Slideshot', 'Threat Detector', 'Moving Target']","['Rampage', 'Grave Robber', 'Full Auto Trigger System']"
hawthorne's field-forged shotgun,https://www.light.gg/db/items/731147177,pve,Shotgun,Lightweight Frame,[],[],[],[]
hawthorne's field-forged shotgun,https://www.light.gg/db/items/731147177,pvp,Shotgun,Lightweight Frame,[],[],[],[]
hawthorne's field-forged shotgun,https://www.light.gg/db/items/1807343361,pve,Shotgun,Lightweight Frame,"['Smallbore', 'Barrel Shroud', 'Corkscrew Rifling']","['Assault Mag', 'Tactical Mag', 'Light Mag']","['Full Auto Trigger System', 'Grave Robber', 'Field Prep']","['Demolitionist', 'One-Two Punch', 'Surrounded']"
hawthorne's field-forged shotgun,https://www.light.gg/db/items/1807343361,pvp,Shotgun,Lightweight Frame,"['Rifled Barrel', 'Full Choke']","['Assault Mag', 'Accurized Rounds']","['Full Auto Trigger System', 'Grave Robber']","['Demolitionist', 'One-Two Punch', 'Opening Shot']"
imperial decree,https://www.light.gg/db/items/2919334548,pve,Shotgun,Aggressive Frame,"['Rifled Barrel', 'Full Choke', 'Smallbore', 'Corkscrew Rifling']","['Accurized Rounds', 'Assault Mag', 'Appended Mag', 'Tactical Mag', 'Extended Mag']","['Feeding Frenzy', 'Grave Robber', 'Full Auto Trigger System']","['Swashbuckler', 'Rampage', 'Trench Barrel']"
imperial decree,https://www.light.gg/db/items/2919334548,pvp,Shotgun,Aggressive Frame,"['Rifled Barrel', 'Full Choke']",['Accurized Rounds'],"['Feeding Frenzy', 'Slideshot']","['Swashbuckler', 'Rampage', 'Snapshot Sights']"
one small step,https://www.light.gg/db/items/1016668089,pve,Shotgun,Rapid-Fire Frame,"['Smallbore', 'Barrel Shroud', 'Corkscrew Rifling']","['Appended Mag', 'Tactical Mag', 'Extended Mag']","['Quickdraw', 'Grave Robber', 'Auto-Loading Holster']","['One-Two Punch', 'Rampage']"
one small step,https://www.light.gg/db/items/1016668089,pvp,Shotgun,Rapid-Fire Frame,"['Rifled Barrel', 'Full Choke']","['Accurized Rounds', 'Light Mag']",['Quickdraw'],"['One-Two Punch', 'Snapshot Sights', 'Opening Shot']"
parcel of stardust,https://www.light.gg/db/items/2217366863,pve,Shotgun,Lightweight Frame,"['Rifled Barrel', 'Full Choke']","['Accurized Rounds', 'Assault Mag', 'Appended Mag', 'Tactical Mag']","['Opening Shot', 'Full Auto Trigger System', 'Threat Detector']","['Rampage', 'Outlaw']"
parcel of stardust,https://www.light.gg/db/items/2217366863,pvp,Shotgun,Lightweight Frame,"['Rifled Barrel', 'Full Choke']",['Accurized Rounds'],"['Opening Shot', 'Full Auto Trigger System', 'Slideshot']","['Rampage', 'Moving Target']"
perfect paradox,https://www.light.gg/db/items/2248667690,pve,Shotgun,Rapid-Fire Frame,[],[],[],[]
perfect paradox,https://www.light.gg/db/items/2248667690,pvp,Shotgun,Rapid-Fire Frame,[],[],[],[]
perfect paradox,https://www.light.gg/db/items/3393519051,pve,Shotgun,Rapid-Fire Frame,"['Smallbore', 'Barrel Shroud', 'Corkscrew Rifling']","['Appended Mag', 'Tactical Mag', 'Light Mag']","['Demolitionist', 'Slideshot', 'Field Prep']","['Swashbuckler', 'Trench Barrel', 'One-Two Punch']"
perfect paradox,https://www.light.gg/db/items/3393519051,pvp,Shotgun,Rapid-Fire Frame,"['Smallbore', 'Barrel Shroud', 'Corkscrew Rifling', 'Rifled Barrel', 'Full Choke']","['Appended Mag', 'Tactical Mag', 'Accurized Rounds']","['Demolitionist', 'Slideshot', 'Field Prep']","['Swashbuckler', 'Trench Barrel', 'One-Two Punch', 'Rampage', 'Opening Shot']"
threat level,https://www.light.gg/db/items/1664372054,pve,Shotgun,Rapid-Fire Frame,"['Rifled Barrel', 'Full Choke', 'Smallbore', 'Barrel Shroud', 'Corkscrew Rifling']","['Appended Mag', 'Tactical Mag', 'Extended Mag']","['Rampage', 'Slideshot', 'Trench Barrel', 'Surrounded']","['Grave Robber', 'Quickdraw', 'Threat Detector']"
threat level,https://www.light.gg/db/items/1664372054,pvp,Shotgun,Rapid-Fire Frame,"['Rifled Barrel', 'Full Choke']",['Accurized Rounds'],"['Rampage', 'Slideshot', 'Moving Target']","['Grave Robber', 'Quickdraw', 'Snapshot Sights']"
toil and trouble,https://www.light.gg/db/items/2957367743,pve,Shotgun,Aggressive Frame,"['Rifled Barrel', 'Full Choke']","['Assault Mag', 'Appended Mag', 'Tactical Mag']","['Slideshot', 'Full Auto Trigger System']","['Rampage', 'Outlaw', 'Auto-Loading Holster']"
toil and trouble,https://www.light.gg/db/items/2957367743,pvp,Shotgun,Aggressive Frame,"['Rifled Barrel', 'Full Choke']",['Accurized Rounds'],"['Slideshot', 'Full Auto Trigger System', 'Threat Detector']","['Rampage', 'Moving Target']"
allied demand,https://www.light.gg/db/items/982229638,pve,Sidearm,Adaptive Frame,[],[],[],[]
allied demand,https://www.light.gg/db/items/982229638,pvp,Sidearm,Adaptive Frame,[],[],[],[]
athelflad-d,https://www.light.gg/db/items/1533499360,pve,Sidearm,Precision Frame,[],[],[],[]
athelflad-d,https://www.light.gg/db/items/1533499360,pvp,Sidearm,Precision Frame,[],[],[],[]
breachlight,https://www.light.gg/db/items/1289997971,pve,Sidearm,Aggressive Burst,"['Hammer-Forged Rifling', 'Smallbore', 'Chambered Compensator', 'Fluted Barrel']","['Appended Mag', 'Tactical Mag']","['Demolitionist', 'Outlaw', 'Hip-Fire Grip']","['Vorpal Weapon', 'Quickdraw', 'Multikill Clip', 'Rampage', 'Osmosis']"
breachlight,https://www.light.gg/db/items/1289997971,pvp,Sidearm,Aggressive Burst,"['Hammer-Forged Rifling', 'Smallbore', 'Extended Barrel', 'Polygonal Rifling']","['Appended Mag', 'Accurized Rounds', 'Steady Rounds']","['Demolitionist', 'Outlaw']","['Vorpal Weapon', 'Quickdraw', 'Multikill Clip']"
buzzard,https://www.light.gg/db/items/805677041,pve,Sidearm,Adaptive Frame,[],[],[],[]
buzzard,https://www.light.gg/db/items/805677041,pvp,Sidearm,Adaptive Frame,[],[],[],[]
controlling vision,https://www.light.gg/db/items/48361212,pve,Sidearm,Adaptive Frame,[],[],[],[]
controlling vision,https://www.light.gg/db/items/48361212,pvp,Sidearm,Adaptive Frame,[],[],[],[]
enigma's draw,https://www.light.gg/db/items/1723380073,pve,Sidearm,Precision Frame,"['QuickDot SAS', 'Control SAS', 'Shortspec SAS']","['Appended Mag', 'High-Caliber Rounds', 'Armor-Piercing Rounds']","['Full Auto Trigger System', 'Grave Robber', 'Triple Tap']","['Demolitionist', 'Rapid Hit', 'Swashbuckler']"
enigma's draw,https://www.light.gg/db/items/1723380073,pvp,Sidearm,Precision Frame,"['QuickDot SAS', 'Control SAS', 'Shortspec SAS', 'Tactic SAS']","['Appended Mag', 'High-Caliber Rounds', 'Ricochet Rounds']","['Full Auto Trigger System', 'Zen Moment', 'Opening Shot']","['Demolitionist', 'Rapid Hit', 'Rangefinder']"
enigma's draw,https://www.light.gg/db/items/2581162758,pve,Sidearm,Precision Frame,[],[],[],[]
enigma's draw,https://www.light.gg/db/items/2581162758,pvp,Sidearm,Precision Frame,[],[],[],[]
last of the legion,https://www.light.gg/db/items/2084611899,pve,Sidearm,Adaptive Frame,[],[],[],[]
last of the legion,https://www.light.gg/db/items/2084611899,pvp,Sidearm,Adaptive Frame,[],[],[],[]
lonesome,https://www.light.gg/db/items/2199171672,pve,Sidearm,Precision Frame,"['Arrowhead Brake', 'Fluted Barrel', 'Polygonal Rifling']","['Alloy Magazine', 'Appended Mag', 'Flared Magwell']","['Full Auto Trigger System', 'Zen Moment', 'Outlaw', 'Rapid Hit']","['Demolitionist', 'Kill Clip', 'Swashbuckler', 'Multikill Clip']"
lonesome,https://www.light.gg/db/items/2199171672,pvp,Sidearm,Precision Frame,"['Chambered Compensator', 'Extended Barrel', 'Hammer-Forged Rifling']","['High-Caliber Rounds', 'Ricochet Rounds', 'Light Mag']","['Full Auto Trigger System', 'Zen Moment', 'Grave Robber']","['Demolitionist', 'Kill Clip', 'Opening Shot']"
minimum distance,https://www.light.gg/db/items/1911843789,pve,Sidearm,Precision Frame,[],[],[],[]
minimum distance,https://www.light.gg/db/items/1911843789,pvp,Sidearm,Precision Frame,[],[],[],[]
peace by consensus,https://www.light.gg/db/items/806021398,pve,Sidearm,Precision Frame,[],[],[],[]
peace by consensus,https://www.light.gg/db/items/806021398,pvp,Sidearm,Precision Frame,[],[],[],[]
smuggler's word,https://www.light.gg/db/items/1843044399,pve,Sidearm,Aggressive Burst,"['Control SAS', 'Shortspec SAS', 'Target SAS']","['High-Caliber Rounds', 'Extended Mag', 'Alloy Magazine']","['Full Auto Trigger System', 'Outlaw']","['Kill Clip', 'Rampage']"
smuggler's word,https://www.light.gg/db/items/1843044399,pvp,Sidearm,Aggressive Burst,"['Control SAS', 'Shortspec SAS', 'Target SAS']","['High-Caliber Rounds', 'Ricochet Rounds']","['Moving Target', 'Quickdraw']","['Rangefinder', 'Tap the Trigger', 'Opening Shot']"
spoiler alert,https://www.light.gg/db/items/819358961,pve,Sidearm,Lightweight Frame,[],[],[],[]
spoiler alert,https://www.light.gg/db/items/819358961,pvp,Sidearm,Lightweight Frame,[],[],[],[]
vertical orbit qsm,https://www.light.gg/db/items/2812672356,pve,Sidearm,Adaptive Frame,[],[],[],[]
vertical orbit qsm,https://www.light.gg/db/items/2812672356,pvp,Sidearm,Adaptive Frame,[],[],[],[]
alone as a god,https://www.light.gg/db/items/3380742308,pve,Sniper Rifle,Rapid-Fire Frame,[],[],[],[]
alone as a god,https://www.light.gg/db/items/3380742308,pvp,Sniper Rifle,Rapid-Fire Frame,[],[],[],[]
bite of the fox,https://www.light.gg/db/items/3169616514,pve,Sniper Rifle,Aggressive Frame,"['Arrowhead Brake', 'Fluted Barrel', 'Polygonal Rifling']","['Appended Mag', 'Tactical Mag', 'Extended Mag', 'Alloy Magazine', 'Flared Magwell']",['Rapid Hit'],['Rampage']
bite of the fox,https://www.light.gg/db/items/3169616514,pvp,Sniper Rifle,Aggressive Frame,"['Arrowhead Brake', 'Fluted Barrel', 'Polygonal Rifling']","['Appended Mag', 'Tactical Mag', 'Extended Mag', 'Alloy Magazine', 'Flared Magwell', 'Drop Mag']","['Rapid Hit', 'Snapshot Sights']","['Explosive Payload', 'Moving Target', 'Opening Shot']"
dreaded venture,https://www.light.gg/db/items/3100452337,pve,Sniper Rifle,Aggressive Frame,['Hammer-Forged Rifling'],['Accurized Rounds'],['Explosive Payload'],[]
dreaded venture,https://www.light.gg/db/items/3100452337,pvp,Sniper Rifle,Aggressive Frame,[],[],[],[]
eye of sol,https://www.light.gg/db/items/3164743584,pve,Sniper Rifle,Adaptive Frame,"['Arrowhead Brake', 'Fluted Barrel', 'Corkscrew Rifling']","['Tactical Mag', 'Appended Mag', 'Extended Mag']","['Firmly Planted', 'Field Prep', 'Outlaw']","['Vorpal Weapon', 'Box Breathing']"
eye of sol,https://www.light.gg/db/items/3164743584,pvp,Sniper Rifle,Adaptive Frame,"['Arrowhead Brake', 'Fluted Barrel', 'Smallbore']","['Tactical Mag', 'Accurized Rounds', 'Flared Magwell']","['Firmly Planted', 'Snapshot Sights']","['Vorpal Weapon', 'Box Breathing', 'Celerity', 'Opening Shot']"
long shadow,https://www.light.gg/db/items/3745990145,pve,Sniper Rifle,Adaptive Frame,"['ATA Scout', 'ATC Rex']","['Appended Mag', 'Extended Mag', 'Alloy Magazine']","['Firmly Planted', 'Rapid Hit', 'Field Prep']","['Rampage', 'Outlaw', 'Triple Tap']"
long shadow,https://www.light.gg/db/items/3745990145,pvp,Sniper Rifle,Adaptive Frame,"['ATA Scout', 'ATC Rex']","['Drop Mag', 'Tactical Mag', 'Flared Magwell']","['Firmly Planted', 'Snapshot Sights', 'Threat Detector']","['Rampage', 'Outlaw', 'Moving Target']"
revoker,https://www.light.gg/db/items/654608616,pve,Sniper Rifle,Aggressive Frame,[],[],[],[]
revoker,https://www.light.gg/db/items/654608616,pvp,Sniper Rifle,Aggressive Frame,[],[],[],[]
shepherd's watch,https://www.light.gg/db/items/3312073053,pve,Sniper Rifle,Adaptive Frame,[],[],[],[]
shepherd's watch,https://www.light.gg/db/items/3312073053,pvp,Sniper Rifle,Adaptive Frame,[],[],[],[]
