Name,Tier,Type,Equippable,Power,Masterwork Type,Masterwork Tier,Season,Mobility (Base),Resilience (Base),Recovery (Base),Discipline (Base),Intellect (Base),Strength (Base),Total (Base),Seasonal Mod,Perks 5,"Sum (Mob,Rec,Str)","Sum (Rec,Int,Dis)"
Scatterhorn Mark,Legendary,Titan Mark,Titan,959,Void Energy Capacity,1.0,4,0,0,0,0,0,0,0,,,0,0
Actium War Rig,Exotic,Chest Armor,Titan,911,Solar Energy Capacity,2.0,1,14,3,13,7,2,18,57,,,45,22
Prodigal Mark,Legendary,Titan Mark,Titan,959,Void Energy Capacity,5.0,4,0,0,0,0,0,0,0,,,0,0
Armamentarium,Exotic,Chest Armor,Titan,922,Solar Energy Capacity,4.0,3,11,11,10,13,6,10,61,,,31,29
Prodigal Mark,Legendary,Titan Mark,Titan,962,Solar Energy Capacity,1.0,4,0,0,0,0,0,0,0,,,0,0
Mimetic Savior Bond,Legendary,Titan Mark,Titan,962,Void Energy Capacity,1.0,4,0,0,0,0,0,0,0,,,0,0
Dunemarchers,Exotic,Leg Armor,Titan,960,Arc Energy Capacity,4.0,1,3,15,10,13,6,9,56,,,22,29
Mimetic Savior Helm,Legendary,Helmet,Titan,962,Solar Energy Capacity,2.0,4,2,12,10,13,2,12,51,,,24,25
Mimetic Savior Helm,Legendary,Helmet,Titan,962,Solar Energy Capacity,3.0,4,12,7,6,6,16,2,49,,,20,28
Mimetic Savior Helm,Legendary,Helmet,Titan,960,Void Energy Capacity,1.0,4,18,2,7,12,7,6,52,,,31,26
Wing Discipline,Legendary,Helmet,Titan,962,Arc Energy Capacity,1.0,9,10,2,17,2,17,6,54,dawn,,33,36
Prodigal Helm,Legendary,Helmet,Titan,960,Arc Energy Capacity,1.0,4,2,7,17,16,2,7,51,,,26,35
Mask of the Quiet One,Exotic,Helmet,Titan,962,Solar Energy Capacity,1.0,1,8,15,7,2,14,12,58,,,27,23
Tangled Web Greaves,Legendary,Leg Armor,Titan,959,Arc Energy Capacity,1.0,4,6,9,12,12,11,2,52,,,20,35
Tangled Web Greaves,Legendary,Leg Armor,Titan,960,Arc Energy Capacity,3.0,4,2,22,2,13,6,7,52,,,11,21
Kerak Type 2,Legendary,Gauntlets,Titan,960,Solar Energy Capacity,3.0,1,10,2,16,7,11,7,53,,,33,34
Dunemarchers,Exotic,Leg Armor,Titan,957,Void Energy Capacity,1.0,1,9,14,7,7,6,14,57,,,30,20
Legion-Bane,Rare,Helmet,Titan,960,Void Energy Capacity,5.0,4,18,2,7,6,7,12,52,,,37,20
Mk. 44 Stand Asides,Exotic,Leg Armor,Titan,958,Void Energy Capacity,1.0,2,7,10,13,18,7,2,57,,,22,38
Hallowfire Heart,Exotic,Chest Armor,Titan,960,Solar Energy Capacity,9.0,1,8,7,10,6,12,6,49,,,24,28
Scatterhorn Greaves,Legendary,Leg Armor,Titan,962,Solar Energy Capacity,1.0,4,2,10,12,6,16,2,48,,,16,34
Prodigal Greaves,Legendary,Leg Armor,Titan,960,Arc Energy Capacity,2.0,4,6,2,17,6,2,17,50,,,40,25
Baseline Mark,Rare,Titan Mark,Titan,959,Arc Energy Capacity,5.0,4,0,0,0,0,0,0,0,,,0,0
Prodigal Cuirass,Legendary,Chest Armor,Titan,959,Void Energy Capacity,1.0,4,6,2,18,13,2,11,52,,,35,33
Opulent Duelist Plate,Legendary,Chest Armor,Titan,955,Arc Energy Capacity,7.0,7,7,13,7,6,11,7,51,opulent,,21,24
Wing Discipline,Legendary,Helmet,Titan,960,Arc Energy Capacity,1.0,9,7,16,2,7,6,13,51,dawn,,22,15
Actium War Rig,Exotic,Chest Armor,Titan,959,Arc Energy Capacity,1.0,1,7,11,7,6,6,10,47,,,24,19
Prodigal Cuirass,Legendary,Chest Armor,Titan,959,Arc Energy Capacity,2.0,4,2,13,11,2,10,12,50,,,25,23
Scatterhorn Helm,Legendary,Helmet,Titan,962,Solar Energy Capacity,2.0,4,6,2,17,11,2,14,52,,,37,30
Tangled Web Helm,Legendary,Helmet,Titan,962,Arc Energy Capacity,5.0,4,7,7,13,8,10,8,53,,,28,31
Midnight Exigent Gauntlets,Legendary,Gauntlets,Titan,960,Void Energy Capacity,4.0,3,7,10,7,16,7,2,49,,,16,30
Mimetic Savior Helm,Legendary,Helmet,Titan,960,Arc Energy Capacity,5.0,4,6,10,7,12,6,7,48,,,20,25
Midnight Exigent Helm,Legendary,Helmet,Titan,960,Solar Energy Capacity,1.0,3,7,6,13,6,7,12,51,,,32,26
One-Eyed Mask,Exotic,Helmet,Titan,959,Arc Energy Capacity,1.0,4,19,3,9,8,20,2,61,,,30,37
Shadow's Mark,Legendary,Titan Mark,Titan,958,Arc Energy Capacity,3.0,1,0,0,0,0,0,0,0,opulent,,0,0
Helm of Saint-14,Exotic,Helmet,Titan,960,Void Energy Capacity,1.0,2,2,11,11,6,12,6,48,,,19,29
Terra Concord Plate,Legendary,Chest Armor,Titan,960,Arc Energy Capacity,1.0,1,2,12,12,6,16,2,50,,,16,34
Stronghold,Exotic,Gauntlets,Titan,960,Void Energy Capacity,2.0,6,2,15,13,13,7,7,57,,,22,33
Vigil of Heroes,Legendary,Leg Armor,Titan,964,Void Energy Capacity,1.0,9,2,23,2,10,8,7,52,dawn,,11,20
Mimetic Savior Greaves,Legendary,Leg Armor,Titan,959,Void Energy Capacity,4.0,4,8,11,6,2,7,16,50,,,30,15
Forged Machinist Greaves,Legendary,Leg Armor,Titan,960,Arc Energy Capacity,5.0,5,11,7,12,6,13,6,55,forge,,29,31
Tangled Web Mark,Legendary,Titan Mark,Titan,961,Void Energy Capacity,2.0,4,0,0,0,0,0,0,0,,,0,0
Vigil of Heroes,Legendary,Titan Mark,Titan,962,Solar Energy Capacity,1.0,9,0,0,0,0,0,0,0,dawn,,0,0
Wing Discipline,Legendary,Titan Mark,Titan,961,Void Energy Capacity,3.0,9,0,0,0,0,0,0,0,dawn,,0,0
Prodigal Helm,Legendary,Helmet,Titan,960,Arc Energy Capacity,2.0,4,7,11,7,11,10,2,48,,,16,28
Forged Machinist Mark,Legendary,Titan Mark,Titan,958,Arc Energy Capacity,1.0,5,0,0,0,0,0,0,0,forge,,0,0
Forged Machinist Mark,Legendary,Titan Mark,Titan,960,Solar Energy Capacity,3.0,5,0,0,0,0,0,0,0,forge,,0,0
Opulent Duelist Mark,Legendary,Titan Mark,Titan,960,Solar Energy Capacity,2.0,7,0,0,0,0,0,0,0,opulent,,0,0
Opulent Duelist Mark,Legendary,Titan Mark,Titan,959,Void Energy Capacity,3.0,7,0,0,0,0,0,0,0,opulent,,0,0
Mimetic Savior Greaves,Legendary,Leg Armor,Titan,960,Void Energy Capacity,1.0,4,6,2,17,6,18,2,51,,,25,41
Mimetic Savior Gauntlets,Legendary,Gauntlets,Titan,959,Solar Energy Capacity,2.0,4,2,7,17,12,12,2,52,,,21,41
Tangled Web Gauntlets,Legendary,Gauntlets,Titan,960,Solar Energy Capacity,3.0,4,6,12,6,12,8,6,50,,,18,26
Midnight Exigent Greaves,Legendary,Leg Armor,Titan,960,Arc Energy Capacity,1.0,3,6,6,12,2,12,12,50,,,30,26
Notorious Sentry Helm,Legendary,Helmet,Titan,960,Solar Energy Capacity,3.0,6,7,7,14,12,16,2,58,,,23,42
Tangled Web Helm,Legendary,Helmet,Titan,960,Void Energy Capacity,1.0,4,18,7,2,6,2,17,52,,,37,10
Notorious Sentry Helm,Legendary,Helmet,Titan,960,Void Energy Capacity,3.0,6,9,8,10,7,14,8,56,,,27,31
Notorious Sentry Helm,Legendary,Helmet,Titan,959,Solar Energy Capacity,2.0,6,7,12,12,13,13,2,59,,,21,38
Hallowfire Heart,Exotic,Chest Armor,Titan,962,Void Energy Capacity,2.0,1,8,7,14,7,8,12,56,,,34,29
Wing Discipline,Legendary,Chest Armor,Titan,961,Void Energy Capacity,6.0,9,2,2,24,7,10,8,53,dawn,,34,41
Wing Discipline,Legendary,Chest Armor,Titan,960,Void Energy Capacity,7.0,9,12,6,6,2,2,22,50,dawn,,40,10
Tangled Web Plate,Legendary,Chest Armor,Titan,960,Void Energy Capacity,3.0,4,7,7,12,6,13,6,51,,,25,31
Illicit Sentry Helm,Legendary,Helmet,Titan,957,Arc Energy Capacity,6.0,6,2,11,13,17,2,6,51,,,21,32
Mimetic Savior Helm,Legendary,Helmet,Titan,962,Arc Energy Capacity,1.0,4,13,2,13,6,7,12,53,,,38,26
