Name,PvX,Weap Type,Archetype,Perk 1,Perk 2,Perk 3,Perk 4
the supremacy,pve,Sniper Rifle,Rapid-Fire Frame,"['Arrowhead Brake', 'Fluted Barrel', 'Polygonal Rifling', 'Hammer-Forged Rifling']","['Alloy Magazine', 'Light Mag', 'Extended Mag', 'Appended Mag', 'Armor-Piercing Rounds', 'Ricochet Rounds']","['Snapshot Sights', 'Outlaw', 'Ambitious Assassin', 'Genesis']","['Rampage', 'Rapid Hit', 'Triple Tap', 'Kill Clip']"
the supremacy,pvp,Sniper Rifle,Rapid-Fire Frame,"['Arrowhead Brake', 'Fluted Barrel', 'Polygonal Rifling']","['Alloy Magazine', 'Light Mag', 'Flared Magwell']","['Snapshot Sights', 'Outlaw']","['Rampage', 'Rapid Hit']"
tranquility,pve,Sniper Rifle,Adaptive Frame,"['Corkscrew Rifling', 'Fluted Barrel']","['Tactical Mag', 'Appended Mag', 'Extended Mag']","['Outlaw', 'Auto-Loading Holster', 'Field Prep']","['Firing Line', ""Fourth Time's the Charm"", 'Box Breathing']"
tranquility,pvp,Sniper Rifle,Adaptive Frame,"['Corkscrew Rifling', 'Fluted Barrel', 'Arrowhead Brake']","['Tactical Mag', 'Accurized Rounds']","['Outlaw', 'No Distractions']","['Snapshot Sights', 'Opening Shot']"
atalanta-d xg1992,pve,Submachine Gun,Precision Frame,"['SC Holo', 'GA Post', 'GB Iron']","['Extended Mag', 'Appended Mag', 'Light Mag']","['Slideways', 'Zen Moment']","['Kill Clip', 'Tap the Trigger', 'High-Impact Reserves']"
atalanta-d xg1992,pvp,Submachine Gun,Precision Frame,['SC Holo'],"['High-Caliber Rounds', 'Ricochet Rounds']","['Slideways', 'Zen Moment', 'Moving Target']","['Kill Clip', 'Tap the Trigger', 'Grave Robber']"
cold front,pve,Submachine Gun,Aggressive Frame,"['Extended Barrel', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore', 'Fluted Barrel']","['Tactical Mag', 'Steady Rounds', 'Appended Mag', 'Extended Mag']","['Zen Moment', 'Feeding Frenzy', 'Auto-Loading Holster']","['Kill Clip', 'Vorpal Weapon', 'Osmosis']"
cold front,pvp,Submachine Gun,Aggressive Frame,"['Extended Barrel', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore', 'Chambered Compensator', 'Full Bore']","['Tactical Mag', 'Steady Rounds', 'Accurized Rounds', 'Flared Magwell']","['Zen Moment', 'Feeding Frenzy', 'Underdog']","['Kill Clip', 'Vorpal Weapon', 'Rangefinder']"
hard truths,pve,Submachine Gun,Aggressive Frame,"['IS 2 Classic', 'Model 8 Red']","['Appended Mag', 'High-Caliber Rounds', 'Alloy Magazine']","['Zen Moment', 'Pulse Monitor']","['Kill Clip', 'High-Impact Reserves', 'Grave Robber']"
hard truths,pvp,Submachine Gun,Aggressive Frame,"['IS 2 Classic', 'Model 8 Red']","['Appended Mag', 'High-Caliber Rounds', 'Ricochet Rounds']","['Zen Moment', 'Snapshot Sights', 'Moving Target']","['Kill Clip', 'Tap the Trigger', 'Threat Detector']"
pillager,pve,Submachine Gun,Lightweight Frame,"['Polygonal Rifling', 'Hammer-Forged Rifling', 'Smallbore']","['Appended Mag', 'High-Caliber Rounds', 'Ricochet Rounds', 'Alloy Magazine']","['Zen Moment', 'Outlaw']","['Kill Clip', 'Rampage', 'High-Impact Reserves']"
pillager,pvp,Submachine Gun,Lightweight Frame,"['Polygonal Rifling', 'Chambered Compensator', 'Corkscrew Rifling']","['Appended Mag', 'High-Caliber Rounds', 'Ricochet Rounds']","['Zen Moment', 'Grave Robber']","['Kill Clip', 'Moving Target', 'Under Pressure']"
trackless waste,pve,Submachine Gun,Adaptive Frame,"['Wolf Sight W1', 'King Sight K1', 'Dusk Sight D1', 'Wolf Dot W2', 'King Dot K2', 'Dusk Dot D1']","['Appended Mag', 'High-Caliber Rounds', 'Alloy Magazine']","['Grave Robber', 'Zen Moment']","['Kill Clip', 'High-Impact Reserves']"
trackless waste,pvp,Submachine Gun,Adaptive Frame,"['Wolf Sight W1', 'King Sight K1', 'Dusk Sight D1', 'Wolf Dot W2', 'King Dot K2', 'Dusk Dot D1']","['Appended Mag', 'High-Caliber Rounds', 'Ricochet Rounds']","['Threat Detector', 'Tap the Trigger', 'Quickdraw']","['Kill Clip', 'Dynamic Sway Reduction', 'Snapshot Sights']"
age-old bond,pve,Auto Rifle,High-Impact Frame,"['Chambered Compensator', 'Extended Barrel', 'Polygonal Rifling']","['Ricochet Rounds', 'Light Mag']",['Zen Moment'],['Kill Clip']
arc logic,pve,Auto Rifle,Adaptive Frame,"['Smallbore', 'Corkscrew Rifling', 'Fluted Barrel']","['Appended Mag', 'Tactical Mag', 'Extended Mag']","['Outlaw', 'Overflow', 'Field Prep']","['Triple Tap', 'Demolitionist', 'Rampage']"
arc logic,pvp,Auto Rifle,Adaptive Frame,"['Smallbore', 'Arrowhead Brake', 'Extended Barrel']",['Accurized Rounds'],"['Outlaw', 'Moving Target']","['Tap the Trigger', 'Rangefinder']"
galliard-42 xn7568,pve,Auto Rifle,Adaptive Frame,"['SLO-12 Post', 'SLO-21 Post', 'SLO-10 Post', 'SPO-57 Front', 'SPO-26 Front']","['Extended Mag', 'High-Caliber Rounds', 'Ricochet Rounds', 'Light Mag']","['Quickdraw', 'Under Pressure', 'Outlaw']","['Rampage', 'High-Impact Reserves', 'Kill Clip', 'Grave Robber']"
gnawing hunger,pve,Auto Rifle,Adaptive Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling']","['Tactical Mag', 'Appended Mag', 'Extended Mag']","['Tap the Trigger', 'Zen Moment', 'Subsistence']","['Demolitionist', 'Rampage', 'Multikill Clip']"
gnawing hunger,pvp,Auto Rifle,Adaptive Frame,"['Extended Barrel', 'Hammer-Forged Rifling', 'Smallbore']","['Tactical Mag', 'Accurized Rounds']","['Tap the Trigger', 'Zen Moment']","['Demolitionist', 'Kill Clip']"
misfit,pve,Auto Rifle,Rapid-Fire Frame,"['King Sight K1', 'Dusk Sight D1', 'Dusk Dot D1']","['High-Caliber Rounds', 'Flared Magwell', 'Light Mag']","['Tap the Trigger', 'Zen Moment', 'Dynamic Sway Reduction']","['Rampage', 'High-Impact Reserves', 'Under Pressure']"
misfit,pvp,Auto Rifle,Rapid-Fire Frame,"['King Sight K1', 'Dusk Sight D1', 'Dusk Dot D1']","['High-Caliber Rounds', 'Extended Mag']","['Tap the Trigger', 'Zen Moment', 'Snapshot Sights']","['Rampage', 'High-Impact Reserves', 'Under Pressure']"
reckless oracle,pve,Auto Rifle,Rapid-Fire Frame,"['Arrowhead Brake', 'Corkscrew Rifling', 'Chambered Compensator', 'Fluted Barrel', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['High-Caliber Rounds', 'Ricochet Rounds', 'Extended Mag', 'Light Mag']","['Outlaw', 'Auto-Loading Holster']","['Kill Clip', 'Swashbuckler', 'Demolitionist']"
reckless oracle,pvp,Auto Rifle,Rapid-Fire Frame,"['Arrowhead Brake', 'Corkscrew Rifling', 'Extended Barrel']","['High-Caliber Rounds', 'Ricochet Rounds']","['Outlaw', 'Mulligan']","['Kill Clip', 'Swashbuckler', 'Demolitionist']"
the ringing nail,pve,Auto Rifle,Precision Frame,"['Rasmussen ISA', 'Meyrin RDS', 'Meyrin RDL']","['Appended Mag', 'High-Caliber Rounds', 'Ricochet Rounds', 'Extended Mag', 'Light Mag']","['Zen Moment', 'Dragonfly', 'Shield Disorient']","['Kill Clip', 'Rampage', 'Disruption Break', 'High-Impact Reserves']"
the ringing nail,pvp,Auto Rifle,Precision Frame,"['Rasmussen ISA', 'Meyrin RDS', 'Meyrin RDL']","['Appended Mag', 'High-Caliber Rounds', 'Ricochet Rounds']","['Zen Moment', 'Quickdraw']","['Kill Clip', 'Rampage', 'Disruption Break', 'Tap the Trigger']"
uriel's gift,pve,Auto Rifle,Precision Frame,"['Torch HS3', 'Candle PS', 'Spark PS']","['High-Caliber Rounds', 'Ricochet Rounds', 'Armor-Piercing Rounds']","['Firmly Planted', 'Quickdraw', 'Field Prep']","['Tap the Trigger', 'Kill Clip', 'Disruption Break']"
uriel's gift,pvp,Auto Rifle,Precision Frame,['Torch HS3'],"['High-Caliber Rounds', 'Ricochet Rounds', 'Flared Magwell']","['Firmly Planted', 'Quickdraw']","['Tap the Trigger', 'Kill Clip', 'Moving Target']"
subtle calamity,pve,Combat Bow,Precision Frame,"['Flexible String', 'Natural String', 'Polymer String']","['Carbon Arrow Shaft', 'Compact Arrow Shaft', 'Fiberglass Arrow Shaft']","['Rampage', 'Dragonfly']","['Explosive Head', ""Archer's Tempo""]"
subtle calamity,pvp,Combat Bow,Precision Frame,"['Flexible String', 'Natural String', 'Polymer String']","['Carbon Arrow Shaft', 'Compact Arrow Shaft', 'Fiberglass Arrow Shaft']","['Hip-Fire Grip', 'Moving Target']","['Explosive Head', ""Archer's Tempo"", 'Sneak Bow']"
tyranny of heaven,pve,Combat Bow,Lightweight Frame,"['Flexible String', 'High Tension String']",['Straight Fletching'],"['Sneak Bow', ""Archer's Tempo""]",['Rampage']
dream breaker,pve,Fusion Rifle,Adaptive Frame,"['Fluted Barrel', 'Corkscrew Rifling']","['Liquid Coils', 'Accelerated Coils', 'Enhanced Battery']","['Auto-Loading Holster', 'Underdog', 'Threat Detector']","['Rampage', 'Backup Plan', 'Disruption Break']"
dream breaker,pvp,Fusion Rifle,Adaptive Frame,"['Fluted Barrel', 'Arrowhead Brake', 'Hammer-Forged Rifling']","['Liquid Coils', 'Particle Repeater', 'Projection Fuse']","['Firmly Planted', 'Moving Target', 'Rangefinder']","['Rampage', 'Backup Plan', 'Tap the Trigger']"
elatha fr4,pve,Fusion Rifle,High-Impact Frame,"['Torch HS3', 'Candle PS', 'Spark PS']","['Enhanced Battery', 'Liquid Coils']","['Quickdraw', 'Firmly Planted', 'Field Prep']","['Demolitionist', 'Backup Plan', 'Kill Clip', 'Surrounded']"
elatha fr4,pvp,Fusion Rifle,High-Impact Frame,['Torch HS3'],"['Particle Repeater', 'Projection Fuse']","['Quickdraw', 'Firmly Planted', 'No Distractions']","['Demolitionist', 'Backup Plan', 'Snapshot Sights']"
erentil fr4,pve,Fusion Rifle,High-Impact Frame,"['Flash HS5', 'Torch HS3', 'Signal MS5', 'Impulse MS3']","['Particle Repeater', 'Projection Fuse', 'Enhanced Battery']","['Moving Target', 'Under Pressure', 'Firmly Planted', 'Auto-Loading Holster']","['Backup Plan', 'Rampage', 'Tap the Trigger', 'Kill Clip', 'High-Impact Reserves']"
erentil fr4,pvp,Fusion Rifle,High-Impact Frame,"['Flash HS5', 'Torch HS3']","['Particle Repeater', 'Projection Fuse', 'Liquid Coils']","['Moving Target', 'Snapshot Sights']","['Backup Plan', 'Rampage', 'Tap the Trigger', 'Rangefinder']"
gallant charge,pve,Fusion Rifle,High-Impact Frame,"['Hammer-Forged Rifling', 'Smallbore', 'Fluted Barrel']","['Enhanced Battery', 'Liquid Coils']","['Demolitionist', 'Auto-Loading Holster']","['Swashbuckler', 'Lead from Gold', 'Multikill Clip']"
gallant charge,pvp,Fusion Rifle,High-Impact Frame,"['Hammer-Forged Rifling', 'Smallbore', 'Extended Barrel', 'Full Bore', 'Polygonal Rifling']","['Particle Repeater', 'Projection Fuse']","['Demolitionist', 'Auto-Loading Holster']","['Swashbuckler', 'Rangefinder', 'Tap the Trigger']"
main ingredient,pve,Fusion Rifle,Precision Frame,"['Hitmark IS', 'Cleanshot IS']",['Enhanced Battery'],"['Under Pressure', 'Auto-Loading Holster']","['Rampage', 'Kill Clip', 'High-Impact Reserves']"
main ingredient,pvp,Fusion Rifle,Precision Frame,"['Hitmark IS', 'Red Dot 2 MOA', 'Red Dot Micro']","['Liquid Coils', 'Particle Repeater', 'Projection Fuse']","['Snapshot Sights', 'Moving Target']","['Rampage', 'Backup Plan', 'Rangefinder', 'Tap the Trigger']"
proelium fr3,pve,Fusion Rifle,Rapid-Fire Frame,"['Flash HS5', 'Torch HS3']",['Enhanced Battery'],"['Under Pressure', 'Auto-Loading Holster', 'Threat Detector']","['Rampage', 'Kill Clip', 'High-Impact Reserves']"
proelium fr3,pvp,Fusion Rifle,Rapid-Fire Frame,"['Flash HS5', 'Torch HS3']","['Liquid Coils', 'Particle Repeater', 'Projection Fuse']","['Snapshot Sights', 'Moving Target']","['Rampage', 'Backup Plan', 'Rangefinder', 'Tap the Trigger']"
techeun force,pve,Fusion Rifle,Adaptive Frame,"['Chambered Compensator', 'Hammer-Forged Rifling', 'Corkscrew Rifling', 'Fluted Barrel', 'Polygonal Rifling', 'Smallbore']","['Accelerated Coils', 'Enhanced Battery']","['Kill Clip', 'Under Pressure']","['Backup Plan', 'Rampage', 'High-Impact Reserves']"
techeun force,pvp,Fusion Rifle,Adaptive Frame,"['Chambered Compensator', 'Hammer-Forged Rifling', 'Arrowhead Brake']","['Liquid Coils', 'Particle Repeater', 'Projection Fuse']","['Kill Clip', 'Snapshot Sights']","['Backup Plan', 'Rampage', 'Rangefinder']"
tempered dynamo,pve,Fusion Rifle,Precision Frame,"['Rasmussen ISA', 'Meyrin RDS', 'Meyrin RDL']","['Enhanced Battery', 'Liquid Coils', 'Particle Repeater', 'Projection Fuse']","['Opening Shot', 'Shield Disorient']","['Rampage', 'Kill Clip', 'High-Impact Reserves']"
tempered dynamo,pvp,Fusion Rifle,Precision Frame,"['Rasmussen ISA', 'Meyrin RDS', 'Meyrin RDL']","['Enhanced Battery', 'Liquid Coils', 'Particle Repeater', 'Projection Fuse']","['Opening Shot', 'Backup Plan']","['Rampage', 'Kill Clip', 'High-Impact Reserves', 'Disruption Break']"
the epicurean,pve,Fusion Rifle,Precision Frame,"['Hammer-Forged Rifling', 'Smallbore', 'Corkscrew Rifling', 'Fluted Barrel', 'Polygonal Rifling']","['Liquid Coils', 'Projection Fuse', 'Enhanced Battery', 'Particle Repeater']","['Tap the Trigger', 'Feeding Frenzy', 'Quickdraw']","['Demolitionist', 'Backup Plan', 'Swashbuckler', 'Moving Target']"
the epicurean,pvp,Fusion Rifle,Precision Frame,"['Hammer-Forged Rifling', 'Smallbore', 'Full Bore']","['Liquid Coils', 'Projection Fuse']","['Tap the Trigger', 'Feeding Frenzy', 'Quickdraw', 'Under Pressure']","['Demolitionist', 'Backup Plan', 'Swashbuckler', 'Rangefinder']"
the wizened rebuke,pve,Fusion Rifle,High-Impact Frame,"['Red Dot 2 MOA', 'Red Dot Micro', 'Cleanshot IS']","['Projection Fuse', 'Enhanced Battery', 'Particle Repeater']","['Auto-Loading Holster', 'Threat Detector']","['Backup Plan', 'High-Impact Reserves', 'Demolitionist']"
the wizened rebuke,pvp,Fusion Rifle,High-Impact Frame,"['Red Dot 2 MOA', 'Red Dot Micro']","['Projection Fuse', 'Liquid Coils']","['Auto-Loading Holster', 'Under Pressure', 'Moving Target']","['Backup Plan', 'High-Impact Reserves', 'Demolitionist', 'Rangefinder', 'Tap the Trigger']"
zealot's reward,pve,Fusion Rifle,Rapid-Fire Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Accelerated Coils', 'Liquid Coils', 'Projection Fuse']","['Feeding Frenzy', 'Auto-Loading Holster', 'Shield Disorient']","['Backup Plan', 'Rampage', 'Disruption Break']"
zealot's reward,pvp,Fusion Rifle,Rapid-Fire Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Accelerated Coils', 'Liquid Coils', 'Projection Fuse', 'Particle Repeater']","['Feeding Frenzy', 'Auto-Loading Holster', 'Under Pressure']",['Backup Plan']
martyr's retribution,pve,Grenade Launcher,Wave Frame,"['Countermass', 'Quick Launch', 'Smart Drift Control']","['High-Velocity Rounds', 'Implosion Rounds']","['Auto-Loading Holster', 'Field Prep']","['Demolitionist', 'Lead from Gold']"
martyr's retribution,pvp,Grenade Launcher,Wave Frame,"['Volatile Launch', 'Confined Launch', 'Linear Compensator']","['High-Velocity Rounds', 'Implosion Rounds']","['Auto-Loading Holster', 'Field Prep']","['Demolitionist', 'Rangefinder']"
orewing's maul,pve,Grenade Launcher,Lightweight Frame,"['Linear Compensator', 'Quick Launch', 'Smart Drift Control']","['Spike Grenades', 'High-Velocity Rounds']","['Grave Robber', 'Field Prep', 'Pulse Monitor']","['Auto-Loading Holster', 'Demolitionist']"
orewing's maul,pvp,Grenade Launcher,Lightweight Frame,"['Volatile Launch', 'Countermass', 'Hard Launch']","['Spike Grenades', 'Proximity Grenades']",['Quickdraw'],"['Auto-Loading Holster', 'Demolitionist']"
ancient gospel,pve,Hand Cannon,Adaptive Frame,"['Smallbore', 'Chambered Compensator', 'Corkscrew Rifling', 'Fluted Barrel', 'Polygonal Rifling']","['Tactical Mag', 'Extended Mag']","['Rapid Hit', 'Slideshot', 'Outlaw']","['Kill Clip', 'Swashbuckler', 'Dragonfly']"
ancient gospel,pvp,Hand Cannon,Adaptive Frame,"['Smallbore', 'Full Bore', 'Hammer-Forged Rifling']","['Tactical Mag', 'Accurized Rounds']","['Rapid Hit', 'Slideshot', 'Outlaw', 'Eye of the Storm']","['Kill Clip', 'Swashbuckler', 'Rangefinder']"
jack queen king 3,pve,Hand Cannon,Lightweight Frame,"['TrueSight HCS', 'HitMark HCS', 'Fastdraw HCS', 'SteadyHand HCS']","['High-Caliber Rounds', 'Ricochet Rounds', 'Appended Mag', 'Armor-Piercing Rounds', 'Flared Magwell']","['Demolitionist', 'Subsistence', 'Auto-Loading Holster', 'Ambitious Assassin']","['Rampage', 'Swashbuckler', 'Dragonfly', 'Surrounded']"
jack queen king 3,pvp,Hand Cannon,Lightweight Frame,"['TrueSight HCS', 'HitMark HCS', 'Crossfire HCS', 'Sureshot HCS']","['High-Caliber Rounds', 'Ricochet Rounds']","['Demolitionist', 'Subsistence', 'Threat Detector']","['Rampage', 'Swashbuckler', 'Snapshot Sights']"
kindled orchid,pve,Hand Cannon,Adaptive Frame,['Hammer-Forged Rifling'],"['Accurized Rounds', 'Appended Mag', 'Tactical Mag', 'Flared Magwell']","['Outlaw', 'Kill Clip', 'Shield Disorient']","['Rapid Hit', 'Rampage', 'Disruption Break']"
kindled orchid,pvp,Hand Cannon,Adaptive Frame,"['Hammer-Forged Rifling', 'Extended Barrel', 'Full Bore', 'Smallbore']",['Accurized Rounds'],"['Outlaw', 'Kill Clip', 'Rangefinder', 'Quickdraw']","['Rapid Hit', 'Rampage', 'Explosive Payload']"
nation of beasts,pve,Hand Cannon,Adaptive Frame,"['Extended Barrel', 'Full Bore', 'Hammer-Forged Rifling']",['Accurized Rounds'],['Outlaw'],['Kill Clip']
optative,pve,Hand Cannon,Precision Frame,"['Hammer-Forged Rifling', 'Corkscrew Rifling', 'Fluted Barrel']","['Appended Mag', 'Tactical Mag', 'Extended Mag']","['Rapid Hit', 'Outlaw', ""Fourth Time's the Charm""]","['Kill Clip', 'Demolitionist']"
optative,pvp,Hand Cannon,Precision Frame,"['Hammer-Forged Rifling', 'Extended Barrel', 'Full Bore']",['Accurized Rounds'],"['Rapid Hit', 'Outlaw']","['Kill Clip', 'Opening Shot']"
trust,pve,Hand Cannon,Precision Frame,"['Extended Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Accurized Rounds', 'Extended Mag', 'Alloy Magazine', 'Flared Magwell']","['Dragonfly', 'Outlaw', 'Triple Tap']","['Explosive Payload', 'Rampage', 'Rapid Hit', 'Zen Moment']"
waking vigil,pve,Hand Cannon,Lightweight Frame,"['HitMark HCS', 'Crossfire HCS', 'Sureshot HCS']","['Extended Mag', 'Ricochet Rounds', 'Flared Magwell', 'Alloy Magazine']","['Opening Shot', 'Triple Tap', 'Zen Moment']","['Outlaw', 'Dragonfly']"
waking vigil,pvp,Hand Cannon,Lightweight Frame,"['HitMark HCS', 'Crossfire HCS', 'Sureshot HCS']","['Extended Mag', 'Ricochet Rounds', 'Flared Magwell']",['Opening Shot'],"['Outlaw', 'Slideshot']"
adhortative,pve,Pulse Rifle,Adaptive Frame,"['Arrowhead Brake', 'Extended Barrel', 'Chambered Compensator', 'Corkscrew Rifling', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['High-Caliber Rounds', 'Ricochet Rounds', 'Light Mag', 'Extended Mag', 'Appended Mag', 'Armor-Piercing Rounds', 'Flared Magwell']","['Feeding Frenzy', 'Underdog', 'Field Prep']","['Dragonfly', 'Rampage', 'Multikill Clip']"
adhortative,pvp,Pulse Rifle,Adaptive Frame,"['Arrowhead Brake', 'Extended Barrel']","['High-Caliber Rounds', 'Ricochet Rounds', 'Light Mag']","['Feeding Frenzy', 'Underdog', 'Firmly Planted']","['Dragonfly', 'Rangefinder']"
claws of the wolf,pve,Pulse Rifle,Rapid-Fire Frame,['Chambered Compensator'],['Ricochet Rounds'],"['Outlaw', 'Slideshot']","['Kill Clip', 'Rangefinder']"
horror's least,pve,Pulse Rifle,Rapid-Fire Frame,"['Arrowhead Brake', 'Fluted Barrel', 'Smallbore']","['Extended Mag', 'High-Caliber Rounds', 'Flared Magwell', 'Light Mag']","['Zen Moment', 'Full Auto Trigger System', 'Under Pressure']","['Kill Clip', 'High-Impact Reserves', 'Dragonfly']"
horror's least,pvp,Pulse Rifle,Rapid-Fire Frame,"['Arrowhead Brake', 'Corkscrew Rifling', 'Polygonal Rifling']","['Extended Mag', 'High-Caliber Rounds', 'Ricochet Rounds']","['Zen Moment', 'Headseeker', 'Rangefinder']","['Kill Clip', 'High-Impact Reserves', 'Dragonfly']"
infinite paths 8,pve,Pulse Rifle,Lightweight Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Smallbore', 'Fluted Barrel']","['Accurized Rounds', 'Tactical Mag', 'Steady Rounds', 'Appended Mag', 'Flared Magwell']","['Demolitionist', 'Auto-Loading Holster', 'Genesis']","['Swashbuckler', 'Zen Moment', 'Dragonfly']"
infinite paths 8,pvp,Pulse Rifle,Lightweight Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Smallbore', 'Extended Barrel']","['Accurized Rounds', 'Tactical Mag', 'Steady Rounds']","['Demolitionist', 'Moving Target']","['Swashbuckler', 'Zen Moment', 'Eye of the Storm']"
last perdition,pve,Pulse Rifle,Adaptive Frame,"['SPO-57 Front', 'SPO-28 Front', 'SLO-10 Post']","['Tactical Mag', 'Steady Rounds', 'Appended Mag', 'Extended Mag']","['Outlaw', 'Rangefinder']","['Kill Clip', 'Rampage', 'High-Impact Reserves', 'Full Auto Trigger System']"
last perdition,pvp,Pulse Rifle,Adaptive Frame,"['SPO-57 Front', 'SPO-28 Front', 'SPO-26 Front']","['Tactical Mag', 'Steady Rounds', 'Accurized Rounds']","['Outlaw', 'Rangefinder', 'Moving Target']","['Kill Clip', 'Snapshot Sights', 'Zen Moment']"
outlast,pve,Pulse Rifle,Rapid-Fire Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Extended Barrel']","['Tactical Mag', 'Appended Mag', 'Extended Mag', 'Flared Magwell']","['Full Auto Trigger System', 'Outlaw', 'Feeding Frenzy']","['Rampage', 'Kill Clip', 'Demolitionist']"
outlast,pvp,Pulse Rifle,Rapid-Fire Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Extended Barrel']","['Tactical Mag', 'Accurized Rounds', 'Steady Rounds']","['Full Auto Trigger System', 'Outlaw', 'Feeding Frenzy', 'Rangefinder']","['Rampage', 'Kill Clip', 'Demolitionist']"
premonition,pve,Pulse Rifle,High-Impact Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Fluted Barrel']","['High-Caliber Rounds', 'Appended Mag']","['Firmly Planted', 'Outlaw']","['Kill Clip', 'Demolitionist', 'Dragonfly']"
premonition,pvp,Pulse Rifle,High-Impact Frame,"['Arrowhead Brake', 'Corkscrew Rifling', 'Hammer-Forged Rifling', 'Smallbore']","['High-Caliber Rounds', 'Ricochet Rounds']","['Firmly Planted', 'Outlaw', 'Rangefinder']","['Kill Clip', 'Demolitionist', 'Headseeker']"
swift ride xe8375,pve,Pulse Rifle,Adaptive Frame,"['SLO-12 Post', 'SLO-21 Post', 'SLO-10 Post', 'SPO-57 Front']","['Tactical Mag', 'Appended Mag', 'Extended Mag', 'Flared Magwell']","['Outlaw', 'Ambitious Assassin']","['Rampage', 'Kill Clip', 'Full Auto Trigger System']"
swift ride xe8375,pvp,Pulse Rifle,Adaptive Frame,"['SLO-12 Post', 'SLO-21 Post', 'SLO-10 Post', 'SPO-57 Front']","['Tactical Mag', 'Accurized Rounds', 'Steady Rounds']","['Outlaw', 'Rangefinder', 'Moving Target']","['Rampage', 'Kill Clip', 'Headseeker', 'Zen Moment']"
black scorpion-4sr,pve,Scout Rifle,VEIST Rapid-Fire,"['Chambered Compensator', 'Fluted Barrel', 'Polygonal Rifling']","['Tactical Mag', 'Steady Rounds', 'Extended Mag']","['Zen Moment', 'Triple Tap', 'High-Impact Reserves']","['Outlaw', 'Rampage', 'Genesis', 'Dragonfly']"
black scorpion-4sr,pvp,Scout Rifle,VEIST Rapid-Fire,"['Chambered Compensator', 'Fluted Barrel', 'Polygonal Rifling']","['Tactical Mag', 'Steady Rounds', 'Accurized Rounds']","['Zen Moment', 'Moving Target']","['Outlaw', 'Rampage']"
calusea noblesse,pve,Scout Rifle,High-Impact Frame,"['Chambered Compensator', 'Fluted Barrel', 'Corkscrew Rifling', 'Polygonal Rifling']","['Tactical Mag', 'Steady Rounds', 'Appended Mag']","['Outlaw', 'Moving Target', 'Subsistence', 'Disruption Break', 'Ambitious Assassin']","['Rampage', 'Dragonfly', 'Multikill Clip', 'Shield Disorient']"
calusea noblesse,pvp,Scout Rifle,High-Impact Frame,"['Chambered Compensator', 'Fluted Barrel', 'Arrowhead Brake']","['Tactical Mag', 'Steady Rounds']","['Outlaw', 'Moving Target', 'Zen Moment']","['Rampage', 'Dragonfly']"
distant relation,pve,Scout Rifle,Precision Frame,"['Chambered Compensator', 'Extended Barrel', 'Hammer-Forged Rifling']",['Accurized Rounds'],"['Outlaw', 'Auto-Loading Holster']","['Explosive Payload', 'Opening Shot']"
no feelings,pve,Scout Rifle,Precision Frame,"['Rasmussen ISA', 'Meyrin RDS', 'Meyrin RDL']","['Tactical Mag', 'Flared Magwell', 'Accurized Rounds', 'Appended Mag', 'Alloy Magazine']","['Outlaw', 'Rapid Hit', 'Triple Tap', 'Mulligan']","['Explosive Payload', 'Kill Clip', 'Rampage', 'Box Breathing']"
no feelings,pvp,Scout Rifle,Precision Frame,"['Rasmussen ISA', 'Meyrin RDS', 'Meyrin RDL']","['Tactical Mag', 'Flared Magwell', 'Steady Rounds']","['Outlaw', 'Rapid Hit']","['Explosive Payload', 'Kill Clip', 'Zen Moment', 'Moving Target']"
tango-45 xk5094,pve,Scout Rifle,Precision Frame,"['SLO-12 Post', 'SLO-21 Post', 'SLO-10 Post', 'SPO-57 Front']","['Tactical Mag', 'Flared Magwell', 'Appended Mag', 'Alloy Magazine']","['Triple Tap', 'High-Impact Reserves']","['Outlaw', 'Rampage', 'Dragonfly']"
tango-45 xk5094,pvp,Scout Rifle,Precision Frame,"['SLO-12 Post', 'SLO-21 Post', 'SLO-10 Post', 'SPO-57 Front']","['Tactical Mag', 'Flared Magwell', 'Steady Rounds']","['Zen Moment', 'Moving Target']","['Outlaw', 'Explosive Payload', 'Opening Shot']"
